,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
219,Forest Hill,535398,172943,51.43930822760034,-0.0533285042533909,3,SE23 3HD
220,Fulham Broadway,525402,177244,51.480260585746336,-0.1955441615278966,2,SW6 1BY
221,Fulwell,514832,171841,51.433941995205664,-0.3494385176467358,6,TW2 5NY
222,Gallions Reach,543873,180935,51.50903426024889,0.0717753947300296,3,E6 6FZ
223,Gants Hill,543266,188432,51.57655306294169,0.0660840980631794,4,IG2 6UD
224,George Street,532432,165594,51.37396589757682,-0.0987181046574809,"3,4,5,6",CRO 1LA
225,Gidea Park,552941,189306,51.5818660866497,0.2059769831264667,6,RM2 6BX
226,Gipsy Hill,533321,171237,51.42446938789821,-0.0838351671131961,3,SE19 1PL
227,Gloucester Road,526196,178848,51.4944992596252,-0.183543557571591,1,SW7 4SF
228,Golders Green,525199,187471,51.57221521685042,-0.1948345569382634,3,NW11 7RN
229,Goldhawk Road,523131,179616,51.50207659663676,-0.2274040032488232,2,W12 8EG
230,Goodge Street,529505,181837,51.52061289126984,-0.1348076891147268,1,W1T 2HF
231,Goodmayes,546462,187369,51.566181168031925,0.1117296550287497,4,IG3 9UH
232,Gordon Hill,531889,197799,51.66350208554497,-0.0944732992729422,5,EN2 0QU
233,Gospel Oak,528263,185677,51.5554050480654,-0.1513010312452065,2,NW5 1LT
234,Grange Hill,544963,192590,51.61348057933538,0.092272530168692,4,IG7 5QB
235,Grange Park,531753,195472,51.64262292064852,-0.0973144232582473,5,N21 1RE
236,Gravel Hill,536359,163536,51.35454318729639,-0.0431216986501781,"3,4,5,6",CR0 5BJ
237,Great Portland Street,528861,182174,51.52378856271794,-0.1439614240810903,1,W1W 5PP
238,Green Park,529012,180283,51.50676025371464,-0.1424775744225331,1,W1J 7BX
239,Greenford,514808,183861,51.54197950701463,-0.3458787331310219,4,UB6 8PR
240,Greenwich,537956,177267,51.47754764253433,-0.0148630836027375,"2,3",SE10 8JQ
241,Grove Park,540702,172099,51.43043268339476,0.0225985021902338,4,SE12 0PW
242,Gunnersbury,519843,178401,51.49186296322991,-0.2751641314162503,3,W4 5RP
243,Hackbridge,528582,165929,51.37786064983568,-0.1538791968503584,4,SM6 7BJ
244,Hackney Central,534922,184943,51.54725735659255,-0.0555895118024949,2,E8 1LL
245,Hackney Downs,534598,185137,51.54907798925833,-0.0601851048568028,2,E8 1LA
246,Hackney Wick,537036,184588,51.54355836778055,-0.0252595027702908,2,E9 5ER
247,Hadley Wood,526197,198199,51.66840258482291,-0.1765811878353872,6,EN4 0EJ
248,Haggerston,533560,183953,51.53868460901327,-0.0755952577608923,2,E8 4DY
249,Hainault,545124,191411,51.602845483752255,0.0941085508301524,4,IG6 3BD
250,Hammersmith,523474,178483,51.49181941355715,-0.2228609258853042,2,W6 9YA
252,Hampstead,526408,185757,51.55654230644866,-0.1780145581084496,2,NW3 1QG
253,Hampstead Heath,527344,185631,51.555199657702005,-0.1645661816775728,3,NW3 2QD
254,Hampton,513299,169797,51.41587894495368,-0.3721352456690553,6,TW12 2HU
255,Hampton Court,515376,168332,51.40229331804945,-0.3427571453065689,6,KT8 9AE
256,Hampton Wick,517407,169752,51.41463953160616,-0.3131036039493127,6,KT1 4DQ
257,Hanger Lane,518506,182621,51.5300715563412,-0.2929961405571649,3,W5 1DL
258,Hanwell,515426,180560,51.512185406676046,-0.3380518777863309,4,W7 3EB
259,Harlesden,520952,183367,51.53625790862039,-0.2574956703770174,3,NW10 8UT
260,Harold Wood,554858,190626,51.59320260393047,0.2342040766583728,6,RM3 0BL
261,Harringay,531395,188200,51.57735773978009,-0.1052082519128206,3,N4 1RW
262,Harringay Green Lanes,531880,188189,51.5771457347569,-0.0982173912207183,3,N4 2NU
263,Harrington Road,535002,168535,51.399790474914624,-0.0606999543468706,"3,4,5,6",SE25 4NF
264,Harrow & Wealdstone,515486,189508,51.59259408808769,-0.3342526785741267,5,HA3 7RF
265,Harrow On The Hill,515329,188035,51.5793875695421,-0.3370015107060956,5,HA1 1BB
266,Hatch End,513024,191370,51.60982790224495,-0.3691787730321793,6,HA5 5LZ
267,Hatton Cross,509614,175369,51.466684612990974,-0.4233805529699787,"5,6",TW6 3PF
268,Haydons Road,526012,171161,51.4254570111129,-0.1889293572795519,3,SW19 8SL
269,Hayes,540003,165993,51.37573672611433,0.0101426524706988,5,BR2 7EN
270,Hayes & Harlington,509717,179417,51.50304838798409,-0.4206418932877566,5,UB3 4BX
271,Headstone Lane,513892,190574,51.60249904455844,-0.3569075069574213,5,HA2 6NB
272,Heathrow Terminal 4,507939,174565,51.4597796985324,-0.4477295782660727,6,TW6 3AA
273,Heathrow Terminal 5,504934,175642,51.470024624464,-0.4906474891242473,6,TW6 2GA
274,Heathrow Terminals 1 2 3,507587,175838,51.47128866191333,-0.4524072136493198,6,TW6 1EB
275,Hendon,522143,188271,51.58007459514265,-0.2386305172919683,"3,4",NW4 4PT
276,Hendon Central,522959,188631,51.583132678162094,-0.226734137100088,"3,4",NW4 3AS
277,Herne Hill,531934,174486,51.45399120427041,-0.1025629077072506,"2,3",SE24 0JW
278,Heron Quays,537386,180127,51.50338653553158,-0.0219535320363096,2,E14 4JH
279,High Barnet,525027,196310,51.65168793826675,-0.1941653779796151,5,EN5 5RP
280,High Street Kensington,525622,179527,51.50072913416872,-0.1915660554964191,1,W8 5SA
281,Highams Park,538581,191841,51.608355995963855,-0.0001352859195288,4,E4 9LA
282,Highbury & Islington,531562,184770,51.54649533884997,-0.1040821392393529,2,N1 1SE
283,Highgate,528503,188158,51.57764637933854,-0.1469348609337413,3,N6 5BH
284,Hillingdon,507567,185015,51.553776781763695,-0.4498979816230209,6,UB10 9NR
285,Hither Green,538997,174497,51.45240172323648,-0.0009709123245438,3,SE13 5NF
286,Holborn,530553,181488,51.51723554139566,-0.1198405066029367,1,WC2B 6AA
287,Holland Park,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB
288,Holloway Road,530930,185457,51.552815921064415,-0.1129356962168598,2,N7 8HS
289,Homerton,536108,184901,51.54659538619648,-0.0385123470211163,2,E9 5SD
290,Honor Oak Park,536002,174221,51.45064817104048,-0.0441531210321065,3,SE23 3LE
291,Hornchurch,553931,186274,51.55435547079002,0.2189269994111758,6,RM12 6LS
292,Hornsey,530911,189202,51.58647467109524,-0.1118156373997599,3,N8 8SE
293,Hounslow,513902,174998,51.46250422727275,-0.361796248390842,5,TW3 3DL
294,Hounslow Central,513592,175928,51.47092516879989,-0.3659581213668801,4,TW3 1JG
295,Hounslow East,514327,176254,51.47370731480755,-0.3552753144989688,4,TW3 4AB
296,Hounslow West,512215,176140,51.47310508637143,-0.385707619977202,5,TW3 3DH
297,Hoxton,533582,183142,51.53139149136721,-0.0755856468761882,"1,2",E2 8HR
298,Hyde Park Corner,528330,179801,51.502583765542106,-0.1524741126318679,1,SW1X 7LY
299,Ickenham,508127,185811,51.56082433291199,-0.4415795012687994,6,UB10 8PD
300,Ilford,543501,186501,51.55914235666761,0.0686851911807607,4,IG1 4DU
301,Imperial Wharf,526299,176674,51.47493863003009,-0.1828375028016368,2,SW6 2HA
302,Island Gardens,538228,178432,51.48795007358022,-0.0104933031301963,2,E14 3FA
303,Isleworth,515570,176430,51.47503687348704,-0.3373287584598126,4,TW7 4BX
304,Iver,503729,179898,51.50850130163604,-0.5067404189391109,,SL0 9AU
305,Kenley,532400,160100,51.324600148977446,-0.1012197121720331,6,CR8 5JA
306,Kennington,531660,178337,51.48866228881571,-0.1050706127740003,2,SE11 4JQ
307,Kensal Green,523241,182784,51.53052384871879,-0.2247133811380436,2,NW10 5JT
308,Kensal Rise,523501,183201,51.5342147055381,-0.2208209758254941,2,NW10 3NT
309,Kensington,524324,179178,51.49787935712583,-0.2103792397678828,2,W14 0NE
310,Kent House,535999,170000,51.4127175867398,-0.0458155530612075,4,BR3 1JF
311,Kentish Town,529029,185096,51.55000929428177,-0.1404712627005257,2,NW5 2AA
312,Kentish Town West,528603,184700,51.546547731815146,-0.1467564086224741,2,NW5 3LD
313,Kenton,516833,188304,51.5814957703514,-0.3152168608263206,4,HA3 0XS
314,Kew Bridge,518898,178172,51.490004145325656,-0.2888464898886721,3,TW8 0EF
315,Kew Gardens,519173,176708,51.476788671230366,-0.2853810066761743,"3,4",TW9 3PZ
316,Kidbrooke,540999,175697,51.46269023696999,0.0283002391854779,3,SE3 9NF
317,Kilburn,524589,184644,51.54694410286596,-0.2046327166992552,2,NW6 7QL
318,Kilburn High Road,525553,183591,51.53726743072475,-0.1911131036134286,2,NW6 7QL
319,Kilburn Park,525361,183349,51.53513522184343,-0.1939660549397059,2,NW6 5AD
320,King George V,543231,180135,51.50200871193282,0.0622062141092917,3,E16 2JF
321,King Henrys Drive,537978,162558,51.34536406699128,-0.020264757424528,"3,4,5,6",CR0 0LH
322,Kings Cross,530312,182991,51.53079799248029,-0.1227564205266309,1,N1 9AL
323,Kings Cross St Pancras,530236,182935,51.53031226194627,-0.1238721286870342,1,N1 9AL
