,station,interchange,line_from,line_to,duration
80,Kings Cross St Pancras,Hammersmith & City to Victoria: 5 minutes,Hammersmith & City,Victoria,5
81,Kings Cross St Pancras,Metropolitan to Northern: 7.5 minutes,Metropolitan,Northern,7.5
82,Kings Cross St Pancras,Metropolitan to Piccadilly: 5 minutes,Metropolitan,Piccadilly,5
83,Kings Cross St Pancras,Metropolitan to Victoria: 5 minutes,Metropolitan,Victoria,5
84,Kings Cross St Pancras,Northern to Piccadilly: 2.5 minutes,Northern,Piccadilly,2.5
85,Kings Cross St Pancras,Northern to Victoria: 4.5 minutes,Northern,Victoria,4.5
86,Kings Cross St Pancras,Piccadilly to Victoria: 2 minutes,Piccadilly,Victoria,2
87,Ladbroke Grove,Connections between Circle and Hammersmith & City: 4 minutes,Circle,Hammersmith & City,4
88,Latimer Road,Connections between Circle and Hammersmith & City: 4 minutes,Circle,Hammersmith & City,4
89,Leicester Square,Northern to Piccadilly: 4 minutes,Northern,Piccadilly,4
90,Leytonstone,Connections between different branches: 4 minutes,,,4
91,Liverpool Street,Central to Circle: 6 minutes,Central,Circle,6
92,Liverpool Street,Central to Hammersmith & City: 6 minutes,Central,Hammersmith & City,6
93,Liverpool Street,Central to Metropolitan: 6 minutes,Central,Metropolitan,6
94,Liverpool Street,Circle to Hammersmith & City: 4 minutes,Circle,Hammersmith & City,4
95,Liverpool Street,Circle to Metropolitan: 4 minutes,Circle,Metropolitan,4
96,Liverpool Street,Hammersmith & City to Metropolitan: 4 minutes,Hammersmith & City,Metropolitan,4
97,London Bridge,Jubilee to Northern: 6 minutes,Jubilee,Northern,6
98,Mansion House,Circle to District: 4 minutes,Circle,District,4
99,Mile End,Central to District: 3 minutes,Central,District,3
100,Mile End,Central to Hammersmith & City: 3 minutes,Central,Hammersmith & City,3
101,Mile End,District to Hammersmith & City: 3 minutes,District,Hammersmith & City,3
102,Monument,Central to Circle: 7 minutes,Central,Circle,7
103,Monument,Central to District: 7 minutes,Central,District,7
104,Monument,Central to Northern: 4 minutes,Central,Northern,4
105,Monument,Central to Waterloo & City: 4.5 minutes,Central,Waterloo & City,4.5
106,Monument,Circle to District: 4 minutes,Circle,District,4
107,Monument,Circle to Northern: 4 minutes,Circle,Northern,4
108,Monument,Circle to Waterloo & City: 10 minutes,Circle,Waterloo & City,10
109,Monument,District to Northern: 4 minutes,District,Northern,4
110,Monument,District to Waterloo & City: 10 minutes,District,Waterloo & City,10
111,Monument,Northern to Waterloo & City: 7 minutes,Northern,Waterloo & City,7
112,Moorgate,Circle to Hammersmith & City: 4 minutes,Circle,Hammersmith & City,4
113,Moorgate,Circle to Metropolitan: 4 minutes,Circle,Metropolitan,4
114,Moorgate,Circle to Northern: 7 minutes,Circle,Northern,7
115,Moorgate,Hammersmith & City to Metropolitan: 4 minutes,Hammersmith & City,Metropolitan,4
116,Moorgate,Hammersmith & City to Northern: 7 minutes,Hammersmith & City,Northern,7
117,Moorgate,Metropolitan to Northern: 7 minutes,Metropolitan,Northern,7
118,Moor Park,Connections between different branches: 3minutes,,,
119,Notting Hill Gate,Central to Circle: 4 minutes,Central,Circle,4
120,Notting Hill Gate,Central to District: 4 minutes,Central,District,4
121,Notting Hill Gate,Circle to District: 4 minutes,Circle,District,4
122,Oxford Circus,Bakerloo to Central: 4 minutes,Bakerloo,Central,4
123,Oxford Circus,Bakerloo to Victoria: 4 minutes,Bakerloo,Victoria,4
124,Oxford Circus,Central to Victoria: 4 minutes,Central,Victoria,4
125,Paddington,Bakerloo to Circle: 7 minutes,Bakerloo,Circle,7
126,Paddington,Bakerloo to District: 7 minutes,Bakerloo,District,7
127,Paddington,Bakerloo to Hammersmith & City: 15 minutes,Bakerloo,Hammersmith & City,15
128,Paddington,Circle to District: 4 minutes,Circle,District,4
129,Paddington,Circle to Hammersmith & City: 13 minutes,Circle,Hammersmith & City,13
130,Paddington,District to Hammersmith & City: 13 minutes,District,Hammersmith & City,13
131,Piccadilly Circus,Bakerloo to Piccadilly: 3 minutes,Bakerloo,Piccadilly,3
132,Plaistow,Connections between District and Hammersmith & City: 4 minutes,District,Hammersmith & City,4
133,Rayners Lane,Metropolitan to Piccadilly: 4 minutes,Metropolitan,Piccadilly,4
134,Royal Oak,Connections between Circle and Hammersmith & City line: 2 minutes,Circle,Hammersmith & City,2
135,Ruislip,Connections between Metropolitan and Piccadilly line: 3 minutes,Metropolitan,Piccadilly,3
136,Ruislip Manor,Connections between Metropolitan and Piccadilly line: 4 minutes,Metropolitan,Piccadilly,4
137,St James Park,Connections between Circle and District lines: 4 minutes,Circle,District,4
138,Shepherds Bush,Connections between Circle and Hammersmith & City lines: 4 minutes,Circle,Hammersmith & City,4
139,Sloane Square,Connections between Circle and District lines: 5 minutes,Circle,District,5
140,South Kensington,Circle to District: 2 minutes,Circle,District,2
141,South Kensington,Circle to Piccadilly:4 minutes,Circle,Piccadilly,
142,South Kensington,District to Piccadilly: 4 minutes,District,Piccadilly,4
143,Stepney Green,Connections between District and Hammersmith & City line: 4 minutes,District,Hammersmith & City,4
144,Stockwell,Connections between Northern Line and Victoria line trains: 3 minutes,Northern,Victoria,3
145,Stratford,DLR Stratford Int to DLR Canary Wharf: 4.5 minutes,,,4.5
146,Stratford,DLR Stratford Int to London Overground: 6 minutes,,,6
147,Stratford,DLR Stratford Int to National Express East Anglia: 6 minutes,,,6
148,Stratford,DLR Canary Wharf to London Overground: 6 minutes,,,6
149,Stratford,DLR Canary Wharf to National Express East Anglia: 6 minutes,,,6
150,Stratford,London Overground to National Express East Anglia: 7 minutes,,,7
151,Temple,Connections between Circle and District: 4 minutes,Circle,District,4
152,Tottenham Court Road,Central to Northern: 4 minutes,Central,Northern,4
153,Tower Hill,"Connections between Circle and District, and with terminating District: 2 minutes.",Circle,District,2
154,Turnham Green,District to Piccadilly: 4 minutes,District,Piccadilly,4
155,Upminster,C2C to National Express East Anglia: 5 minutes,,,5
156,Upton Park,District to Hammersmith & City: 4 minutes,District,Hammersmith & City,4
157,Uxbridge,Metropolitan to Piccadilly: 1 minute,Metropolitan,Piccadilly,
158,Victoria,Circle to District: 2 minutes,Circle,District,2
159,Victoria,Circle to Victoria: 4 minutes,Circle,Victoria,4
160,Victoria,District to Victoria: 4 minutes,District,Victoria,4
161,Victoria,Southern to Southeastern: 10 minutes,,,10
162,Warren Street,Northern to Victoria: 6 minutes,Northern,Victoria,6
163,Waterloo,Bakerloo to Jubilee: 6 minutes,Bakerloo,Jubilee,6
164,Waterloo,Bakerloo to Northern: 4 minutes,Bakerloo,Northern,4
165,Waterloo,Jubilee to Northern: 6 minutes,Jubilee,Northern,6
166,Wembley Central,London Overground to Southern: 5 minutes,,,5
167,Wembley Park,Jubilee to Metropolitan: 4 minutes,Jubilee,Metropolitan,4
168,Westbourne Park,Connections between Circle and Hammersmith & City lines: 4 minutes,Circle,Hammersmith & City,4
169,West Brompton,London Overground to Southern: 5 minutes,,,5
170,West Ham,C2C to DLR: 5.5 minutes,,,5.5
171,West Ham,District to Hammersmith & City: 5 minutes,District,Hammersmith & City,5
172,West Ham,District to Jubilee: 5 minutes,District,Jubilee,5
173,West Ham,Hammersmith & City to Jubilee,Hammersmith & City,Jubilee,
174,Westminster,Circle to District: 4 minutes,Circle,District,4
175,Westminster,Circle to Jubilee: 6 minutes,Circle,Jubilee,6
176,Westminster,District to Jubilee: 6 minutes,District,Jubilee,6
177,Whitechapel,Hammersmith & City  to District: 2 minutes,Hammersmith & City,District,2
178,Willesden Green, ,,,
179,Willesden Junction,London Overground (Watford) to London Overground (North/West London Lines): 5 minutes,,,5
180,Willesden Junction,London Overground (between North and West London Lines): 3 minutes,,,3
181,Wimbledon,South West Trains to Tramlink: 5 minutes,,,5
182,Woodford,Connections between different branches: 3 minutes,,,3
