Elverson Road,Step-free level access available.
Embankment,Bakerloo to Circle: 5 minutes
Embankment,Bakerloo to District: 5 minutes
Embankment,Bakerloo to Northern: 5 minutes
Embankment,Circle to District: 4 minutes
Embankment,Circle to Northern: 5 minutes
Embankment,District to Northern: 5 minutes
Epping,
Euston ,Northern to Victoria: 5 minutes
Euston ,Northern to London Overground/NR: 10 minutes
Euston ,Victoria to London Overground/NR: 9 minutes
,
Euston Square,"Connections between Metropolitan, Hammersmith & City, Circle line trains: 2 minutes"
Fairlop,
Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes"
Farringdon,"Connections between Metropolitan, Hammersmith & City and Circle line trains and First Capital Connect: 5 minutes"
,
,
Finchley Central,Connections between High Barnet and trains terminating at Mill Hill East: 3 minutes
Finchley Road,Connections between Jubilee and Metropolitan line trains: 3 minutes
,
Finchley Road & Frognal,
Finsbury Park,Connections between Piccadilly and Victoria line trains: 4 minutes
Finsbury Park,Connections between Piccadilly and First Capital Connect: 5 minutes
Finsbury Park,Connections between Victoria and First Capital Connect: 5 minutes
Forest Hill,Connections between London Overground and Southern: 4 minutes
,
Fulham Broadway,
Gallions Reach,
Gants Hill,
Gloucester Road,Circle to District: 4 minutes
Gloucester Road,Circle to Piccadilly: 7 minutes
Gloucester Road,District to Piccadilly: 7 minutes
Golders Green,
Goldhawk Road,
Goodge Street,
Gospel Oak,Interchange between Barking branch and North London Line: 5 minutes
,
Grange Hill,
Great Portland Street,"Connections between Metropolitan, Hammersmith & City and Circle line trains: 4 minutes"
Greenford,Connections between Central line and First Great Western services: 4 minutes
,
Green Park,Jubilee to Piccadilly: 5.5 minutes
Green Park,Jubilee to Victoria: 4.5 minutes
Green Park,Piccadilly to Victoria: 4 minutes
Greenwich,DLR to Southeastern: 5 minutes
,
Gunnersbury,Connections between District line and London Overground services: 4 minutes
,
Hackney Central,
Hackney Wick,
Haggerston,
Hainault,
Hammersmith District and Piccadilly lines,District to Piccadilly: 4 minutes
,
Hammersmith Hammersmith & City line,
Hampstead,
Hampstead Heath,
Hanger Lane,
Harlesden,Connections between Bakerloo line and London Overground services: 5 minutes
,
Harringay Green Lanes,Step-free access via ramps between street and platforms.
Harrow & Wealdstone,Bakerloo to London Overground and all National Rail: 5 minutes
Harrow & Wealdstone,London Overground to National Rail: 5 minutes
Harrow-On-The-Hill,Chiltern Railways to Metropolitan: 4 minutes
Harrow-On-The-Hill,Metropolitan (different branches): 4 minutes
Hatton Cross,Piccadilly (different branches): 2 minutes
Hatch End,
Headstone Lane,
Heathrow Terminals 123 London Underground,Piccadilly (different branches): 2 minutes
Heathrow Terminal 4,
Heathrow Terminal  5,Heathrow Express to Piccadilly line: 5 minutes
,
Heron Quays,Interchange with Canary Wharf LU station: 5 minutes
High Barnet,
Highbury & Islington,First Capital Connect to London Overground: 6 minutes
Highbury & Islington,First Capital Connect to Victoria: 4 minutes
Highbury & Islington,London Overground to Victoria: 6 minutes
Highbury & Islington,London Overground (different branches): 5 minutes
Highgate,
,
High Street Kensington,Circle to District: 4 minutes
High Street Kensington,District (different branches): 4 minutes
Hillingdon,Connections between Metropolitan and Piccadilly line: 4 minutes
,
Holborn,Central to Piccadilly: 6 minutes
,
Holland Park,
Holloway Road,
Homerton,
Honor Oak Park,Connections between London Overground and Southern: 4 minutes
,
Hornchurch,
Hounslow Central,
Hounslow East,
Hounslow West,
Hoxton,
Hyde Park Corner,
Ickenham,Connections between Metropolitan and Piccadilly line: 4 minutes
,
Imperial Wharf,London Overground to Southern: 5 minutes
,
Kennington,Connections between different branches: 2 minutes
Kensal Green,Connections between Bakerloo line and London Overground services: 5 minutes
,
Kensal Rise,
Kensington Olympia ,District to London Overground and National Rail: 3 minutes
Kensington Olympia ,London Overground to National Rail: 5 minutes
Kentish Town ,First Capital Connect to Northern: 6 minutes
,
Kentish Town West,
Kenton,Connections between Bakerloo line and London Overground services: 5 minutes
,
Kew Gardens,Connections between District line and London Overground services: 5 minutes
,
Kilburn,
Kilburn High Road,
Kilburn Park,
Kingsbury,
Kings Cross St. Pancras,Circle to Hammersmith & City: 2 minutes
Kings Cross St. Pancras,Circle to Metropolitan: 2 minutes
Kings Cross St. Pancras,Circle to Northern: 7.5 minutes
Kings Cross St. Pancras,Circle to Piccadilly: 5 minutes
Kings Cross St. Pancras,Circle to Victoria: 5 minutes
Kings Cross St. Pancras,Circle to National Rail: 12 minutes
Kings Cross St. Pancras,Hammersmith & City to Metropolitan: 2 minutes
Kings Cross St. Pancras,Hammersmith & City to Northern: 7.5 minutes
Kings Cross St. Pancras,Hammersmith & City to Piccadilly: 5 minutes
Kings Cross St. Pancras,Hammersmith & City to Victoria: 5 minutes
Kings Cross St. Pancras,Hammersmith & City to National Rail: 12 minutes
Kings Cross St. Pancras,Metropolitan to Northern: 7.5 minutes
Kings Cross St. Pancras,Metropolitan to Piccadilly: 5 minutes
Kings Cross St. Pancras,Metropolitan to Victoria: 5 minutes
Kings Cross St. Pancras,Metropolitan to National Rail: 12 minutes
Kings Cross St. Pancras,Northern to Piccadilly: 2.5 minutes
Kings Cross St. Pancras,Northern to Victoria: 4.5 minutes
Kings Cross St. Pancras,Northern to National Rail: 9.5 minutes
Kings Cross St. Pancras,Piccadilly to Victoria: 2 minutes
Kings Cross St. Pancras,Piccadilly to National Rail: 10 minutes
Kings Cross St. Pancras,Victoria to National Rail: 12 minutes
King George V,
Knightsbridge,
Ladbroke Grove,Connections between Circle and Hammersmith & City: 4 minutes
,
Lambeth North,
Lancaster Gate,
Langdon Park,
Latimer Road,Connections between Circle and Hammersmith & City: 4 minutes
,
Leicester Square,Northern to Piccadilly: 4 minutes
,
Lewisham ,DLR to Southeastern: 7 minutes
,
Leyton,
Leyton Midland Road,
Leytonstone,Connections between different branches: 4 minutes
Leytonstone High Road,
Limehouse ,C2C to DLR: 5 minutes
,
Liverpool Street ,Central to Circle: 6 minutes
Liverpool Street ,Central to Hammersmith & City: 6 minutes
Liverpool Street ,Central to Metropolitan: 6 minutes
Liverpool Street ,Central to National Rail: 6 minutes
Liverpool Street ,Circle to Hammersmith & City: 4 minutes
Liverpool Street ,Circle to Metropolitan: 4 minutes
Liverpool Street ,Circle to National Rail: 8 minutes
Liverpool Street ,Hammersmith & City to Metropolitan: 4 minutes
Liverpool Street ,Hammersmith & City to National Rail: 8 minutes
Liverpool Street ,Metropolitan to National Rail: 8 minutes
London Bridge ,Jubilee to Northern: 6 minutes
London Bridge ,Jubilee to National Rail: 7 minutes
London Bridge ,Northern to National Rail: 10 minutes
London City Airport ,
Loughton,
Maida Vale,
Manor House,
Mansion House,Circle to District: 4 minutes
,
Marble Arch,
Marylebone ,Bakerloo to Chiltern Railways: 9 minutes
,
Mile End ,Central to District: 3 minutes
Mile End ,Central to Hammersmith & City: 3 minutes
Mile End ,District to Hammersmith & City: 3 minutes
Mill Hill East,
"Monument, includes interchange values with Bank",Central to Circle: 7 minutes
"Monument, includes interchange values with Bank",Central to District: 7 minutes
"Monument, includes interchange values with Bank",Central to DLR: 3 minutes
"Monument, includes interchange values with Bank",Central to Northern: 4 minutes
"Monument, includes interchange values with Bank",Central to Waterloo & City: 4.5 minutes
"Monument, includes interchange values with Bank",Circle to District: 4 minutes
"Monument, includes interchange values with Bank",Circle to DLR: 4 minutes
