,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
330,Northern,Northbound,Colindale,Burnt Oak,1.31,2.07,2.0,2.0
331,Northern,Northbound,Burnt Oak,Edgware,1.47,3.37,3.94,3.6
332,Piccadilly,Eastbound,Uxbridge,Hillingdon,2.03,3.0,3.0,3.0
333,Piccadilly,Eastbound,Hillingdon,Ickenham,1.08,1.6,2.0,2.0
334,Piccadilly,Eastbound,Ickenham,Ruislip,1.85,2.3,2.5,2.5
335,Piccadilly,Eastbound,Ruislip,Ruislip Manor,0.72,1.3,1.5,1.5
336,Piccadilly,Eastbound,Ruislip Manor,Eastcote,1.14,1.67,2.0,2.0
337,Piccadilly,Eastbound,Eastcote,Rayners Lane,1.72,2.23,3.35,3.95
338,Piccadilly,Eastbound,Rayners Lane,South Harrow,1.89,2.58,3.74,4.46
339,Piccadilly,Eastbound,South Harrow,Sudbury Hill,1.36,1.85,2.0,2.0
340,Piccadilly,Eastbound,Sudbury Hill,Sudbury Town,1.65,2.03,2.5,2.5
341,Piccadilly,Eastbound,Sudbury Town,Alperton,1.57,1.95,2.5,2.5
342,Piccadilly,Eastbound,Alperton,Park Royal,1.97,2.2,2.5,2.5
343,Piccadilly,Eastbound,Park Royal,North Ealing,1.06,1.52,2.5,2.03
344,Piccadilly,Eastbound,North Ealing,Ealing Common,0.94,1.65,2.5,2.5
345,Piccadilly,Eastbound,Ealing Common,Acton Town,1.03,1.83,3.04,3.45
346,Piccadilly,Eastbound,Heathrow Terminals 1 2 3,Hatton Cross,2.15,2.63,4.43,4.08
347,Piccadilly,Eastbound,Hatton Cross,Hounslow West,2.91,3.25,3.5,3.5
348,Piccadilly,Eastbound,Hounslow West,Hounslow Central,1.46,1.98,2.5,2.5
349,Piccadilly,Eastbound,Hounslow Central,Hounslow East,0.74,1.3,1.5,1.5
350,Piccadilly,Eastbound,Hounslow East,Osterley,0.96,1.53,2.0,2.0
351,Piccadilly,Eastbound,Osterley,Boston Manor,2.42,2.85,3.0,3.0
352,Piccadilly,Eastbound,Boston Manor,Northfields,0.99,1.98,4.46,3.38
353,Piccadilly,Eastbound,Northfields,South Ealing,0.38,0.98,1.5,1.5
354,Piccadilly,Eastbound,South Ealing,Acton Town,2.2,2.93,4.11,4.28
355,Piccadilly,Eastbound,Acton Town,Hammersmith,4.42,5.65,6.0,5.53
356,Piccadilly,Eastbound,Hammersmith,Barons Court,0.68,1.38,2.0,2.0
357,Piccadilly,Eastbound,Barons Court,Earls Court,1.62,2.55,3.0,3.0
358,Piccadilly,Eastbound,Earls Court,Gloucester Road,0.78,1.37,1.5,1.5
359,Piccadilly,Eastbound,Gloucester Road,South Kensington,0.7,1.28,1.5,1.5
360,Piccadilly,Eastbound,South Kensington,Knightsbridge,1.22,2.48,3.0,3.0
361,Piccadilly,Eastbound,Knightsbridge,Hyde Park Corner,0.51,1.1,1.5,1.5
362,Piccadilly,Eastbound,Hyde Park Corner,Green Park,1.06,1.73,2.0,2.02
363,Piccadilly,Eastbound,Green Park,Piccadilly Circus,0.56,1.1,1.5,1.5
364,Piccadilly,Eastbound,Piccadilly Circus,Leicester Square,0.49,1.17,1.5,1.5
365,Piccadilly,Eastbound,Leicester Square,Covent Garden,0.25,0.77,1.0,1.01
366,Piccadilly,Eastbound,Covent Garden,Holborn,0.59,1.4,1.5,1.5
367,Piccadilly,Eastbound,Holborn,Russell Square,0.72,1.55,2.0,2.0
368,Piccadilly,Eastbound,Russell Square,Kings Cross,0.91,1.9,2.47,2.05
369,Piccadilly,Eastbound,Kings Cross,Caledonian Road,1.96,2.88,3.5,3.5
370,Piccadilly,Eastbound,Caledonian Road,Holloway Road,0.59,1.18,1.5,1.5
371,Piccadilly,Eastbound,Holloway Road,Arsenal,0.74,1.28,1.5,1.5
372,Piccadilly,Eastbound,Arsenal,Finsbury Park,0.69,1.38,1.5,1.5
373,Piccadilly,Eastbound,Finsbury Park,Manor House,1.04,1.55,2.0,2.0
374,Piccadilly,Eastbound,Manor House,Turnpike Lane,2.31,2.88,3.0,3.0
375,Piccadilly,Eastbound,Turnpike Lane,Wood Green,0.98,1.57,2.0,2.02
376,Piccadilly,Eastbound,Wood Green,Bounds Green,1.52,2.23,2.5,2.5
377,Piccadilly,Eastbound,Bounds Green,Arnos Grove,1.25,2.58,3.62,3.91
378,Piccadilly,Eastbound,Arnos Grove,Southgate,1.94,2.8,2.52,2.51
379,Piccadilly,Eastbound,Southgate,Oakwood,1.86,2.48,3.9,3.51
380,Piccadilly,Eastbound,Oakwood,Cockfosters,1.27,2.83,3.0,3.09
381,Piccadilly,Westbound,Cockfosters,Oakwood,1.27,2.27,2.6,2.45
382,Piccadilly,Westbound,Oakwood,Southgate,1.86,2.37,2.5,2.5
383,Piccadilly,Westbound,Southgate,Arnos Grove,1.94,3.28,4.31,4.35
384,Piccadilly,Westbound,Arnos Grove,Bounds Green,1.25,2.25,2.0,2.0
385,Piccadilly,Westbound,Bounds Green,Wood Green,1.52,2.2,2.5,2.57
386,Piccadilly,Westbound,Wood Green,Turnpike Lane,0.98,1.52,1.5,1.5
387,Piccadilly,Westbound,Turnpike Lane,Manor House,2.31,2.87,3.0,3.0
388,Piccadilly,Westbound,Manor House,Finsbury Park,1.04,1.67,2.49,2.0
389,Piccadilly,Westbound,Finsbury Park,Arsenal,0.69,1.35,1.5,1.5
390,Piccadilly,Westbound,Arsenal,Holloway Road,0.74,1.3,1.5,1.5
391,Piccadilly,Westbound,Holloway Road,Caledonian Road,0.59,1.2,1.5,1.5
392,Piccadilly,Westbound,Caledonian Road,Kings Cross,1.96,2.78,4.0,3.52
393,Piccadilly,Westbound,Kings Cross,Russell Square,0.91,1.67,2.0,2.0
394,Piccadilly,Westbound,Russell Square,Holborn,0.72,1.37,1.5,1.5
395,Piccadilly,Westbound,Holborn,Covent Garden,0.59,1.53,2.0,2.0
396,Piccadilly,Westbound,Covent Garden,Leicester Square,0.25,0.77,1.0,1.0
397,Piccadilly,Westbound,Leicester Square,Piccadilly Circus,0.49,1.07,1.5,1.5
398,Piccadilly,Westbound,Piccadilly Circus,Green Park,0.56,1.18,1.5,1.5
399,Piccadilly,Westbound,Green Park,Hyde Park Corner,1.06,1.73,2.48,2.02
400,Piccadilly,Westbound,Hyde Park Corner,Knightsbridge,0.51,1.12,1.5,1.5
401,Piccadilly,Westbound,Knightsbridge,South Kensington,1.22,2.23,2.5,2.5
402,Piccadilly,Westbound,South Kensington,Gloucester Road,0.7,1.37,1.5,1.5
403,Piccadilly,Westbound,Gloucester Road,Earls Court,0.78,1.37,1.5,1.5
404,Piccadilly,Westbound,Earls Court,Barons Court,1.62,2.68,3.0,3.0
405,Piccadilly,Westbound,Barons Court,Hammersmith,0.68,1.32,2.0,2.0
406,Piccadilly,Westbound,Hammersmith,Acton Town,4.42,4.7,6.67,6.87
407,Piccadilly,Westbound,Acton Town,South Ealing,2.2,2.8,3.08,3.02
408,Piccadilly,Westbound,South Ealing,Northfields,0.38,0.95,2.87,1.98
409,Piccadilly,Westbound,Northfields,Boston Manor,0.99,1.55,2.0,2.0
410,Piccadilly,Westbound,Boston Manor,Osterley,2.42,2.85,3.0,3.0
411,Piccadilly,Westbound,Osterley,Hounslow East,0.96,1.52,2.0,2.0
412,Piccadilly,Westbound,Hounslow East,Hounslow Central,0.74,1.27,1.5,1.5
413,Piccadilly,Westbound,Hounslow Central,Hounslow West,1.46,1.85,2.0,2.0
414,Piccadilly,Westbound,Hounslow West,Hatton Cross,2.91,3.3,5.5,5.5
415,Piccadilly,Westbound,Hatton Cross,Heathrow Terminal 4,1.83,2.1,2.5,2.5
416,Piccadilly,Westbound,Heathrow Terminal 4,Heathrow Terminals 1 2 3,4.31,4.63,5.0,5.0
417,Piccadilly,Westbound,Acton Town,Ealing Common,1.03,1.72,2.02,2.01
418,Piccadilly,Westbound,Ealing Common,North Ealing,0.94,1.88,2.0,2.0
419,Piccadilly,Westbound,North Ealing,Park Royal,1.06,1.67,2.0,2.0
420,Piccadilly,Westbound,Park Royal,Alperton,1.97,2.37,2.5,2.5
421,Piccadilly,Westbound,Alperton,Sudbury Town,1.57,2.03,2.5,2.5
422,Piccadilly,Westbound,Sudbury Town,Sudbury Hill,1.65,2.25,2.5,2.5
423,Piccadilly,Westbound,Sudbury Hill,South Harrow,1.36,2.05,3.91,2.75
424,Piccadilly,Westbound,South Harrow,Rayners Lane,1.89,2.4,3.43,3.06
425,Piccadilly,Westbound,Rayners Lane,Eastcote,1.72,2.2,2.5,2.5
426,Piccadilly,Westbound,Eastcote,Ruislip Manor,1.14,1.73,2.0,2.0
427,Piccadilly,Westbound,Ruislip Manor,Ruislip,0.72,1.27,1.95,1.5
428,Piccadilly,Westbound,Ruislip,Ickenham,1.85,2.23,2.5,2.5
429,Piccadilly,Westbound,Ickenham,Hillingdon,1.08,1.58,2.0,2.0
430,Piccadilly,Westbound,Hillingdon,Uxbridge,2.03,3.7,3.92,3.5
431,Metropolitan,Westbound,Aldgate,Liverpool Street,0.61,1.75,2.0,2.38
432,Metropolitan,Westbound,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
433,Metropolitan,Westbound,Moorgate,Barbican,0.63,1.38,1.5,1.5
434,Metropolitan,Westbound,Barbican,Farringdon,0.51,1.2,1.95,1.5
435,Metropolitan,Westbound,Farringdon,Kings Cross St Pancras,1.85,3.12,3.5,3.5
436,Metropolitan,Westbound,Kings Cross St Pancras,Euston Square,0.85,1.65,2.0,2.0
437,Metropolitan,Westbound,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
438,Metropolitan,Westbound,Great Portland Street,Baker Street,0.92,2.23,4.08,3.82
439,Metropolitan,Westbound,Baker Street,Finchley Road,3.38,5.55,5.55,5.51
440,Metropolitan,Westbound,Finchley Road,Wembley Park,7.24,7.05,6.95,7.0
441,Metropolitan,Westbound,Wembley Park,Preston Road,1.46,2.12,2.5,2.5
442,Metropolitan,Westbound,Preston Road,Northwick Park,1.64,2.3,2.5,2.5
443,Metropolitan,Westbound,Northwick Park,Harrow On The Hill,1.29,2.32,4.53,3.03
444,Metropolitan,Westbound,Finchley Road,Harrow On The Hill,11.63,11.02,11.0,11.0
445,Metropolitan,Westbound,Harrow On The Hill,West Harrow,1.26,2.32,2.0,2.0
446,Metropolitan,Westbound,West Harrow,Rayners Lane,1.38,2.05,2.57,2.5
447,Metropolitan,Westbound,Rayners Lane,Eastcote,1.72,2.23,2.52,2.5
448,Metropolitan,Westbound,Eastcote,Ruislip Manor,1.14,1.82,2.02,2.0
449,Metropolitan,Westbound,Ruislip Manor,Ruislip,0.72,1.35,1.52,1.5
450,Metropolitan,Westbound,Ruislip,Ickenham,1.85,2.57,2.6,2.5
451,Metropolitan,Westbound,Ickenham,Hillingdon,1.08,1.75,2.0,2.0
452,Metropolitan,Westbound,Hillingdon,Uxbridge,2.03,4.08,4.02,3.54
453,Metropolitan,Westbound,Harrow On The Hill,North Harrow,2.0,3.18,3.0,3.0
454,Metropolitan,Westbound,North Harrow,Pinner,1.48,2.0,2.5,2.5
455,Metropolitan,Westbound,Pinner,Northwood Hills,2.08,2.6,2.5,2.5
456,Metropolitan,Westbound,Northwood Hills,Northwood,1.61,2.23,2.5,2.5
457,Metropolitan,Westbound,Northwood,Moor Park,2.22,2.55,3.0,3.0
458,Metropolitan,Westbound,Harrow On The Hill,Moor Park,9.39,9.03,9.5,9.5
459,Metropolitan,Westbound,Moor Park,Croxley,2.94,4.33,4.5,4.5
460,Metropolitan,Westbound,Croxley,Watford,1.9,3.6,3.6,3.5
461,Metropolitan,Westbound,Moor Park,Rickmansworth,3.49,4.13,5.0,5.0
462,Metropolitan,Westbound,Rickmansworth,Chorleywood,3.38,4.03,4.0,4.0
463,Metropolitan,Westbound,Chorleywood,Chalfont & Latimer,3.43,3.95,4.68,4.5
464,Metropolitan,Westbound,Chalfont & Latimer,Chesham,6.19,9.48,8.64,8.5
465,Metropolitan,Westbound,Chalfont & Latimer,Amersham,3.27,4.07,4.0,4.0
466,Metropolitan,Eastbound,Amersham,Chalfont & Latimer,3.27,3.65,4.0,4.0
467,Metropolitan,Eastbound,Chesham,Chalfont & Latimer,6.19,9.63,9.0,8.5
468,Metropolitan,Eastbound,Chalfont & Latimer,Chorleywood,3.43,3.68,4.0,4.0
469,Metropolitan,Eastbound,Chorleywood,Rickmansworth,3.38,4.07,4.5,4.58
470,Metropolitan,Eastbound,Rickmansworth,Moor Park,3.49,3.78,4.5,4.5
471,Metropolitan,Eastbound,Watford,Croxley,1.9,3.22,3.0,3.0
472,Metropolitan,Eastbound,Croxley,Moor Park,2.94,4.42,4.0,4.0
473,Metropolitan,Eastbound,Moor Park,Northwood,2.22,2.87,3.0,3.0
474,Metropolitan,Eastbound,Northwood,Northwood Hills,1.61,2.2,2.5,2.5
475,Metropolitan,Eastbound,Northwood Hills,Pinner,2.08,2.48,2.5,2.5
476,Metropolitan,Eastbound,Pinner,North Harrow,1.48,2.08,2.85,2.5
477,Metropolitan,Eastbound,North Harrow,Harrow On The Hill,2.0,3.08,4.57,4.49
478,Metropolitan,Eastbound,Moor Park,Harrow On The Hill,9.39,9.62,10.0,10.0
479,Metropolitan,Eastbound,Uxbridge,Hillingdon,2.03,3.0,3.0,3.0
480,Metropolitan,Eastbound,Hillingdon,Ickenham,1.08,1.73,2.0,2.0
481,Metropolitan,Eastbound,Ickenham,Ruislip,1.85,2.45,2.5,2.5
482,Metropolitan,Eastbound,Ruislip,Ruislip Manor,0.72,1.45,1.5,1.5
483,Metropolitan,Eastbound,Ruislip Manor,Eastcote,1.14,1.82,2.0,2.0
484,Metropolitan,Eastbound,Eastcote,Rayners Lane,1.72,2.33,3.0,3.0
485,Metropolitan,Eastbound,Rayners Lane,West Harrow,1.38,2.08,2.0,2.0
486,Metropolitan,Eastbound,West Harrow,Harrow On The Hill,1.26,2.15,3.85,4.0
487,Metropolitan,Eastbound,Harrow On The Hill,Finchley Road,11.63,10.15,11.5,11.5
488,Metropolitan,Eastbound,Harrow On The Hill,Northwick Park,1.29,1.9,2.0,2.0
489,Metropolitan,Eastbound,Northwick Park,Preston Road,1.64,2.05,2.35,2.0
490,Metropolitan,Eastbound,Preston Road,Wembley Park,1.46,1.98,2.55,2.53
491,Metropolitan,Eastbound,Wembley Park,Finchley Road,7.24,7.0,7.32,7.52
492,Metropolitan,Eastbound,Finchley Road,Baker Street,3.38,6.13,7.11,6.4
493,Metropolitan,Eastbound,Baker Street,Great Portland Street,0.92,1.98,2.0,2.0
494,Metropolitan,Eastbound,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
495,Metropolitan,Eastbound,Euston Square,Kings Cross St Pancras,0.85,1.75,2.0,2.0
496,Metropolitan,Eastbound,Kings Cross St Pancras,Farringdon,1.85,2.98,3.5,3.5
497,Metropolitan,Eastbound,Farringdon,Barbican,0.51,1.22,1.5,1.5
498,Metropolitan,Eastbound,Barbican,Moorgate,0.63,1.32,1.5,1.5
499,Metropolitan,Eastbound,Moorgate,Liverpool Street,0.51,1.18,1.99,1.53
500,Metropolitan,Eastbound,Liverpool Street,Aldgate,0.61,2.18,2.01,2.2
501,Hammersmith & City,Eastbound,Hammersmith,Goldhawk Road,0.82,2.05,2.0,2.0
502,Hammersmith & City,Eastbound,Goldhawk Road,Shepherds Bush,0.51,1.15,1.5,1.5
503,Hammersmith & City,Eastbound,Shepherds Bush,Latimer Road,1.01,1.63,2.0,2.0
504,Hammersmith & City,Eastbound,Latimer Road,Ladbroke Grove,0.66,1.37,1.5,1.5
505,Hammersmith & City,Eastbound,Ladbroke Grove,Westbourne Park,0.79,1.48,1.5,1.5
506,Hammersmith & City,Eastbound,Westbourne Park,Royal Oak,0.98,1.78,2.0,2.0
507,Hammersmith & City,Eastbound,Royal Oak,Paddington,0.64,1.52,2.0,2.0
508,Hammersmith & City,Eastbound,Paddington,Edgware Road,0.93,2.33,3.71,3.72
509,Hammersmith & City,Eastbound,Edgware Road,Baker Street,0.72,1.47,2.84,2.5
510,Hammersmith & City,Eastbound,Baker Street,Great Portland Street,0.92,1.9,2.0,2.0
511,Hammersmith & City,Eastbound,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
512,Hammersmith & City,Eastbound,Euston Square,Kings Cross St Pancras,0.85,1.75,2.0,2.0
513,Hammersmith & City,Eastbound,Kings Cross St Pancras,Farringdon,1.85,2.98,3.5,3.5
514,Hammersmith & City,Eastbound,Farringdon,Barbican,0.51,1.22,1.5,1.5
515,Hammersmith & City,Eastbound,Barbican,Moorgate,0.64,1.32,1.53,1.5
516,Hammersmith & City,Eastbound,Moorgate,Liverpool Street,0.51,1.18,1.95,1.51
517,Hammersmith & City,Eastbound,Liverpool Street,Aldgate East,0.92,1.93,3.14,2.78
518,Hammersmith & City,Eastbound,Aldgate East,Whitechapel,0.82,2.17,2.5,2.01
519,Hammersmith & City,Eastbound,Whitechapel,Stepney Green,1.0,2.05,2.0,2.0
520,Hammersmith & City,Eastbound,Stepney Green,Mile End,1.05,1.73,2.0,2.0
521,Hammersmith & City,Eastbound,Mile End,Bow Road,0.55,1.27,1.5,1.5
522,Hammersmith & City,Eastbound,Bow Road,Bromley By Bow,1.01,2.12,2.0,2.0
523,Hammersmith & City,Eastbound,Bromley By Bow,West Ham,1.37,2.0,2.0,2.0
524,Hammersmith & City,Eastbound,West Ham,Plaistow,0.76,1.43,2.26,2.04
525,Hammersmith & City,Eastbound,Plaistow,Upton Park,1.29,1.97,2.0,2.0
526,Hammersmith & City,Eastbound,Upton Park,East Ham,1.4,2.02,2.0,2.0
527,Hammersmith & City,Eastbound,East Ham,Barking,2.29,3.78,3.6,3.49
528,Hammersmith & City,Westbound,Barking,East Ham,2.29,2.87,3.0,3.0
529,Hammersmith & City,Westbound,East Ham,Upton Park,1.4,2.0,2.5,2.5
530,Hammersmith & City,Westbound,Upton Park,Plaistow,1.29,1.93,2.0,2.0
531,Hammersmith & City,Westbound,Plaistow,West Ham,0.76,1.5,1.5,1.5
532,Hammersmith & City,Westbound,West Ham,Bromley By Bow,1.37,2.12,2.0,2.0
533,Hammersmith & City,Westbound,Bromley By Bow,Bow Road,1.01,2.23,2.5,2.5
534,Hammersmith & City,Westbound,Bow Road,Mile End,0.55,1.27,1.5,1.5
535,Hammersmith & City,Westbound,Mile End,Stepney Green,1.05,1.72,2.0,2.0
536,Hammersmith & City,Westbound,Stepney Green,Whitechapel,1.0,2.63,3.48,2.56
537,Hammersmith & City,Westbound,Whitechapel,Aldgate East,0.82,2.18,2.45,2.06
538,Hammersmith & City,Westbound,Aldgate East,Liverpool Street,0.92,2.12,3.02,3.88
539,Hammersmith & City,Westbound,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
540,Hammersmith & City,Westbound,Moorgate,Barbican,0.64,1.38,1.5,1.5
541,Hammersmith & City,Westbound,Barbican,Farringdon,0.51,1.2,1.92,1.51
542,Hammersmith & City,Westbound,Farringdon,Kings Cross St Pancras,1.85,3.12,3.5,3.5
543,Hammersmith & City,Westbound,Kings Cross St Pancras,Euston Square,0.85,1.65,2.0,2.0
544,Hammersmith & City,Westbound,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
545,Hammersmith & City,Westbound,Great Portland Street,Baker Street,0.92,1.57,2.9,2.07
546,Hammersmith & City,Westbound,Baker Street,Edgware Road,0.72,1.88,3.6,3.08
547,Hammersmith & City,Westbound,Edgware Road,Paddington,0.93,2.08,2.0,2.0
548,Hammersmith & City,Westbound,Paddington,Royal Oak,0.64,1.33,1.5,1.5
549,Hammersmith & City,Westbound,Royal Oak,Westbourne Park,0.98,1.72,2.0,2.0
550,Hammersmith & City,Westbound,Westbourne Park,Ladbroke Grove,0.79,1.48,1.5,1.5
551,Hammersmith & City,Westbound,Ladbroke Grove,Latimer Road,0.66,1.28,1.5,1.5
552,Hammersmith & City,Westbound,Latimer Road,Shepherds Bush,1.01,1.7,2.0,2.0
553,Hammersmith & City,Westbound,Shepherds Bush,Goldhawk Road,0.51,1.15,1.0,1.0
554,Hammersmith & City,Westbound,Goldhawk Road,Hammersmith,0.82,2.43,3.07,3.03
555,Circle,Inner,Edgware Road,Paddington,0.82,1.85,2.0,2.0
556,Circle,Inner,Paddington,Bayswater,0.98,1.65,2.0,2.0
557,Circle,Inner,Bayswater,Notting Hill Gate,0.79,1.47,2.0,2.0
558,Circle,Inner,Notting Hill Gate,High Street Kensington,0.93,1.58,3.57,3.36
559,Circle,Inner,High Street Kensington,Gloucester Road,0.93,1.8,2.66,2.9
560,Circle,Inner,Gloucester Road,South Kensington,0.74,1.43,1.5,1.5
561,Circle,Inner,South Kensington,Sloane Square,1.22,1.98,2.0,2.0
562,Circle,Inner,Sloane Square,Victoria,1.05,1.8,2.0,2.0
563,Circle,Inner,Victoria,St James Park,0.72,1.42,1.5,1.5
564,Circle,Inner,St James Park,Westminster,0.76,1.5,2.0,2.0
565,Circle,Inner,Westminster,Embankment,0.69,1.37,2.0,2.0
566,Circle,Inner,Embankment,Temple,0.71,1.37,2.0,2.0
567,Circle,Inner,Temple,Blackfriars,0.76,1.4,2.0,2.0
568,Circle,Inner,Blackfriars,Mansion House,0.61,1.52,1.95,1.52
569,Circle,Inner,Mansion House,Cannon Street,0.31,0.98,1.0,1.0
570,Circle,Inner,Cannon Street,Monument,0.34,0.97,1.5,1.5
571,Circle,Inner,Monument,Tower Hill,0.68,1.8,2.0,2.07
572,Circle,Inner,Tower Hill,Aldgate,0.5,1.3,4.05,3.18
573,Circle,Inner,Aldgate,Liverpool Street,0.61,1.75,2.0,2.42
574,Circle,Inner,Liverpool Street,Moorgate,0.51,1.32,1.5,1.5
575,Circle,Inner,Moorgate,Barbican,0.64,1.38,1.5,1.5
576,Circle,Inner,Barbican,Farringdon,0.51,1.2,1.92,1.51
577,Circle,Inner,Farringdon,Kings Cross St Pancras,1.85,3.12,3.5,3.5
578,Circle,Inner,Kings Cross St Pancras,Euston Square,0.85,1.65,2.0,2.0
579,Circle,Inner,Euston Square,Great Portland Street,0.61,1.3,1.5,1.5
580,Circle,Inner,Great Portland Street,Baker Street,0.92,1.57,2.9,2.07
581,Circle,Inner,Baker Street,Edgware Road,0.72,1.88,3.6,3.08
582,Circle,Outer,Edgware Road,Baker Street,0.72,1.47,2.84,2.5
583,Circle,Outer,Baker Street,Great Portland Street,0.92,1.9,2.0,2.0
584,Circle,Outer,Great Portland Street,Euston Square,0.61,1.25,1.5,1.5
585,Circle,Outer,Euston Square,Kings Cross St Pancras,0.85,1.75,2.0,2.0
586,Circle,Outer,Kings Cross St Pancras,Farringdon,1.85,2.98,3.5,3.5
587,Circle,Outer,Farringdon,Barbican,0.51,1.22,1.5,1.5
588,Circle,Outer,Barbican,Moorgate,0.64,1.32,1.53,1.5
589,Circle,Outer,Moorgate,Liverpool Street,0.51,1.18,1.95,1.51
590,Circle,Outer,Liverpool Street,Aldgate,0.61,2.18,2.55,2.51
591,Circle,Outer,Aldgate,Tower Hill,0.5,1.37,2.02,2.1
592,Circle,Outer,Tower Hill,Monument,0.68,1.48,1.5,1.5
593,Circle,Outer,Monument,Cannon Street,0.34,0.88,1.0,1.0
594,Circle,Outer,Cannon Street,Mansion House,0.31,0.93,1.5,1.5
595,Circle,Outer,Mansion House,Blackfriars,0.61,1.22,1.52,1.5
596,Circle,Outer,Blackfriars,Temple,0.76,1.37,1.5,1.5
597,Circle,Outer,Temple,Embankment,0.71,1.43,2.0,2.01
598,Circle,Outer,Embankment,Westminster,0.69,1.4,1.5,1.5
599,Circle,Outer,Westminster,St James Park,0.76,1.52,1.5,1.5
600,Circle,Outer,St James Park,Victoria,0.72,1.33,2.0,2.0
601,Circle,Outer,Victoria,Sloane Square,1.05,1.75,2.0,2.0
602,Circle,Outer,Sloane Square,South Kensington,1.22,2.0,2.98,2.5
603,Circle,Outer,South Kensington,Gloucester Road,0.74,1.48,2.02,2.54
604,Circle,Outer,Gloucester Road,High Street Kensington,0.93,2.23,3.98,2.92
605,Circle,Outer,High Street Kensington,Notting Hill Gate,0.93,1.68,2.0,2.0
606,Circle,Outer,Notting Hill Gate,Bayswater,0.79,1.77,2.0,2.0
607,Circle,Outer,Bayswater,Paddington,0.98,1.63,2.45,2.01
608,Circle,Outer,Paddington,Edgware Road,0.82,2.15,3.71,3.72
609,District,Westbound,Upminster,Upminster Bridge,1.24,2.08,2.0,2.03
610,District,Westbound,Upminster Bridge,Hornchurch,1.26,1.78,2.0,2.0
611,District,Westbound,Hornchurch,Elm Park,1.5,1.98,2.5,2.5
612,District,Westbound,Elm Park,Dagenham East,2.37,2.77,3.07,3.18
613,District,Westbound,Dagenham East,Dagenham Heathway,1.35,1.83,2.0,2.0
614,District,Westbound,Dagenham Heathway,Becontree,1.37,1.88,2.5,2.5
615,District,Westbound,Becontree,Upney,1.87,2.33,2.5,2.5
616,District,Westbound,Upney,Barking,1.38,1.92,2.66,3.82
617,District,Westbound,Barking,East Ham,2.29,2.87,3.0,3.0
618,District,Westbound,East Ham,Upton Park,1.4,2.0,2.5,2.5
619,District,Westbound,Upton Park,Plaistow,1.29,1.93,2.0,2.01
620,District,Westbound,Plaistow,West Ham,0.76,1.5,1.5,1.5
621,District,Westbound,West Ham,Bromley By Bow,1.37,2.12,2.0,2.0
622,District,Westbound,Bromley By Bow,Bow Road,1.01,2.23,2.5,2.5
623,District,Westbound,Bow Road,Mile End,0.55,1.27,1.5,1.5
624,District,Westbound,Mile End,Stepney Green,1.05,1.72,2.0,2.0
625,District,Westbound,Stepney Green,Whitechapel,1.0,2.63,3.54,3.51
626,District,Westbound,Whitechapel,Aldgate East,0.82,2.18,2.46,2.05
627,District,Westbound,Aldgate East,Tower Hill,0.8,1.87,3.03,3.65
628,District,Westbound,Tower Hill,Monument,0.68,1.48,1.5,1.5
629,District,Westbound,Monument,Cannon Street,0.34,0.88,1.0,1.0
630,District,Westbound,Cannon Street,Mansion House,0.31,0.93,1.5,1.5
631,District,Westbound,Mansion House,Blackfriars,0.61,1.22,1.5,1.5
632,District,Westbound,Blackfriars,Temple,0.76,1.37,1.5,1.5
633,District,Westbound,Temple,Embankment,0.71,1.43,2.0,2.0
634,District,Westbound,Embankment,Westminster,0.69,1.4,1.5,1.5
635,District,Westbound,Westminster,St James Park,0.76,1.52,1.5,1.5
636,District,Westbound,St James Park,Victoria,0.72,1.33,2.0,2.0
637,District,Westbound,Victoria,Sloane Square,1.05,1.75,2.0,2.0
638,District,Westbound,Sloane Square,South Kensington,1.22,2.0,3.0,2.5
639,District,Westbound,South Kensington,Gloucester Road,0.74,1.48,2.0,2.01
640,District,Westbound,Gloucester Road,Earls Court,0.93,1.82,3.04,3.59
641,District,Westbound,Edgware Road,Paddington,0.82,1.85,2.0,2.0
642,District,Westbound,Paddington,Bayswater,0.98,1.65,2.0,2.0
643,District,Westbound,Bayswater,Notting Hill Gate,0.79,1.47,2.0,2.0
644,District,Westbound,Notting Hill Gate,High Street Kensington,0.93,1.58,3.28,3.36
645,District,Westbound,High Street Kensington,Earls Court,1.26,2.72,4.11,3.82
646,District,Westbound,Earls Court,Kensington,1.54,3.08,3.0,3.0
647,District,Westbound,Earls Court,West Brompton,0.6,1.42,1.5,1.5
648,District,Westbound,West Brompton,Fulham Broadway,0.84,1.55,1.5,1.5
649,District,Westbound,Fulham Broadway,Parsons Green,0.79,1.5,2.0,2.0
650,District,Westbound,Parsons Green,Putney Bridge,0.95,2.32,2.5,2.5
651,District,Westbound,Putney Bridge,East Putney,1.11,2.18,2.0,2.0
652,District,Westbound,East Putney,Southfields,1.53,2.35,2.5,2.5
653,District,Westbound,Southfields,Wimbledon Park,1.45,2.05,2.5,2.51
