,station_from,station_to,line,direction,distance_kms,un-impeded_running_time,running_time_av
369,Kings Cross St Pancras,Caledonian Road,Piccadilly,Eastbound,1.96,2.88,3.5
370,Caledonian Road,Holloway Road,Piccadilly,Eastbound,0.59,1.18,1.5
371,Holloway Road,Arsenal,Piccadilly,Eastbound,0.74,1.28,1.5
372,Arsenal,Finsbury Park,Piccadilly,Eastbound,0.69,1.38,1.5
373,Finsbury Park,Manor House,Piccadilly,Eastbound,1.04,1.55,2.0
374,Manor House,Turnpike Lane,Piccadilly,Eastbound,2.31,2.88,3.0
375,Turnpike Lane,Wood Green,Piccadilly,Eastbound,0.98,1.57,2.01
376,Wood Green,Bounds Green,Piccadilly,Eastbound,1.52,2.23,2.5
377,Bounds Green,Arnos Grove,Piccadilly,Eastbound,1.25,2.58,3.76
378,Arnos Grove,Southgate,Piccadilly,Eastbound,1.94,2.8,2.51
379,Southgate,Oakwood,Piccadilly,Eastbound,1.86,2.48,3.7
380,Oakwood,Cockfosters,Piccadilly,Eastbound,1.27,2.83,3.04
381,Cockfosters,Oakwood,Piccadilly,Westbound,1.27,2.27,2.53
382,Oakwood,Southgate,Piccadilly,Westbound,1.86,2.37,2.5
383,Southgate,Arnos Grove,Piccadilly,Westbound,1.94,3.28,4.33
384,Arnos Grove,Bounds Green,Piccadilly,Westbound,1.25,2.25,2.0
385,Bounds Green,Wood Green,Piccadilly,Westbound,1.52,2.2,2.54
386,Wood Green,Turnpike Lane,Piccadilly,Westbound,0.98,1.52,1.5
387,Turnpike Lane,Manor House,Piccadilly,Westbound,2.31,2.87,3.0
388,Manor House,Finsbury Park,Piccadilly,Westbound,1.04,1.67,2.24
389,Finsbury Park,Arsenal,Piccadilly,Westbound,0.69,1.35,1.5
390,Arsenal,Holloway Road,Piccadilly,Westbound,0.74,1.3,1.5
391,Holloway Road,Caledonian Road,Piccadilly,Westbound,0.59,1.2,1.5
392,Caledonian Road,Kings Cross St Pancras,Piccadilly,Westbound,1.96,2.78,3.76
393,Kings Cross St Pancras,Russell Square,Piccadilly,Westbound,0.91,1.67,2.0
394,Russell Square,Holborn,Piccadilly,Westbound,0.72,1.37,1.5
395,Holborn,Covent Garden,Piccadilly,Westbound,0.59,1.53,2.0
396,Covent Garden,Leicester Square,Piccadilly,Westbound,0.25,0.77,1.0
397,Leicester Square,Piccadilly Circus,Piccadilly,Westbound,0.49,1.07,1.5
398,Piccadilly Circus,Green Park,Piccadilly,Westbound,0.56,1.18,1.5
399,Green Park,Hyde Park Corner,Piccadilly,Westbound,1.06,1.73,2.25
400,Hyde Park Corner,Knightsbridge,Piccadilly,Westbound,0.51,1.12,1.5
401,Knightsbridge,South Kensington,Piccadilly,Westbound,1.22,2.23,2.5
402,South Kensington,Gloucester Road,Piccadilly,Westbound,0.7,1.37,1.5
403,Gloucester Road,Earls Court,Piccadilly,Westbound,0.78,1.37,1.5
404,Earls Court,Barons Court,Piccadilly,Westbound,1.62,2.68,3.0
405,Barons Court,Hammersmith,Piccadilly,Westbound,0.68,1.32,2.0
406,Hammersmith,Acton Town,Piccadilly,Westbound,4.42,4.7,6.77
407,Acton Town,South Ealing,Piccadilly,Westbound,2.2,2.8,3.05
408,South Ealing,Northfields,Piccadilly,Westbound,0.38,0.95,2.42
409,Northfields,Boston Manor,Piccadilly,Westbound,0.99,1.55,2.0
410,Boston Manor,Osterley,Piccadilly,Westbound,2.42,2.85,3.0
411,Osterley,Hounslow East,Piccadilly,Westbound,0.96,1.52,2.0
412,Hounslow East,Hounslow Central,Piccadilly,Westbound,0.74,1.27,1.5
413,Hounslow Central,Hounslow West,Piccadilly,Westbound,1.46,1.85,2.0
414,Hounslow West,Hatton Cross,Piccadilly,Westbound,2.91,3.3,5.5
415,Hatton Cross,Heathrow Terminal 4,Piccadilly,Westbound,1.83,2.1,2.5
416,Heathrow Terminal 4,Heathrow Terminals 1 2 3,Piccadilly,Westbound,4.31,4.63,5.0
417,Acton Town,Ealing Common,Piccadilly,Westbound,1.03,1.72,2.01
418,Ealing Common,North Ealing,Piccadilly,Westbound,0.94,1.88,2.0
419,North Ealing,Park Royal,Piccadilly,Westbound,1.06,1.67,2.0
420,Park Royal,Alperton,Piccadilly,Westbound,1.97,2.37,2.5
421,Alperton,Sudbury Town,Piccadilly,Westbound,1.57,2.03,2.5
422,Sudbury Town,Sudbury Hill,Piccadilly,Westbound,1.65,2.25,2.5
423,Sudbury Hill,South Harrow,Piccadilly,Westbound,1.36,2.05,3.33
424,South Harrow,Rayners Lane,Piccadilly,Westbound,1.89,2.4,3.24
425,Rayners Lane,Eastcote,Piccadilly,Westbound,1.72,2.2,2.5
426,Eastcote,Ruislip Manor,Piccadilly,Westbound,1.14,1.73,2.0
427,Ruislip Manor,Ruislip,Piccadilly,Westbound,0.72,1.27,1.72
428,Ruislip,Ickenham,Piccadilly,Westbound,1.85,2.23,2.5
429,Ickenham,Hillingdon,Piccadilly,Westbound,1.08,1.58,2.0
430,Hillingdon,Uxbridge,Piccadilly,Westbound,2.03,3.7,3.71
431,Aldgate,Liverpool Street,Metropolitan,Westbound,0.61,1.75,2.19
432,Liverpool Street,Moorgate,Metropolitan,Westbound,0.51,1.32,1.5
433,Moorgate,Barbican,Metropolitan,Westbound,0.63,1.38,1.5
434,Barbican,Farringdon,Metropolitan,Westbound,0.51,1.2,1.72
435,Farringdon,Kings Cross St Pancras,Metropolitan,Westbound,1.85,3.12,3.5
436,Kings Cross St Pancras,Euston Square,Metropolitan,Westbound,0.85,1.65,2.0
437,Euston Square,Great Portland Street,Metropolitan,Westbound,0.61,1.3,1.5
438,Great Portland Street,Baker Street,Metropolitan,Westbound,0.92,2.23,3.95
439,Baker Street,Finchley Road,Metropolitan,Westbound,3.38,5.55,5.53
440,Finchley Road,Wembley Park,Metropolitan,Westbound,7.24,7.05,6.98
441,Wembley Park,Preston Road,Metropolitan,Westbound,1.46,2.12,2.5
442,Preston Road,Northwick Park,Metropolitan,Westbound,1.64,2.3,2.5
443,Northwick Park,Harrow On The Hill,Metropolitan,Westbound,1.29,2.32,3.78
444,Finchley Road,Harrow On The Hill,Metropolitan,Westbound,11.63,11.02,11.0
445,Harrow On The Hill,West Harrow,Metropolitan,Westbound,1.26,2.32,2.0
446,West Harrow,Rayners Lane,Metropolitan,Westbound,1.38,2.05,2.54
447,Rayners Lane,Eastcote,Metropolitan,Westbound,1.72,2.23,2.51
448,Eastcote,Ruislip Manor,Metropolitan,Westbound,1.14,1.82,2.01
449,Ruislip Manor,Ruislip,Metropolitan,Westbound,0.72,1.35,1.51
450,Ruislip,Ickenham,Metropolitan,Westbound,1.85,2.57,2.55
451,Ickenham,Hillingdon,Metropolitan,Westbound,1.08,1.75,2.0
452,Hillingdon,Uxbridge,Metropolitan,Westbound,2.03,4.08,3.78
453,Harrow On The Hill,North Harrow,Metropolitan,Westbound,2.0,3.18,3.0
454,North Harrow,Pinner,Metropolitan,Westbound,1.48,2.0,2.5
455,Pinner,Northwood Hills,Metropolitan,Westbound,2.08,2.6,2.5
456,Northwood Hills,Northwood,Metropolitan,Westbound,1.61,2.23,2.5
457,Northwood,Moor Park,Metropolitan,Westbound,2.22,2.55,3.0
458,Harrow On The Hill,Moor Park,Metropolitan,Westbound,9.39,9.03,9.5
459,Moor Park,Croxley,Metropolitan,Westbound,2.94,4.33,4.5
460,Croxley,Watford,Metropolitan,Westbound,1.9,3.6,3.55
461,Moor Park,Rickmansworth,Metropolitan,Westbound,3.49,4.13,5.0
462,Rickmansworth,Chorleywood,Metropolitan,Westbound,3.38,4.03,4.0
463,Chorleywood,Chalfont & Latimer,Metropolitan,Westbound,3.43,3.95,4.59
464,Chalfont & Latimer,Chesham,Metropolitan,Westbound,6.19,9.48,8.57
465,Chalfont & Latimer,Amersham,Metropolitan,Westbound,3.27,4.07,4.0
466,Amersham,Chalfont & Latimer,Metropolitan,Eastbound,3.27,3.65,4.0
467,Chesham,Chalfont & Latimer,Metropolitan,Eastbound,6.19,9.63,8.75
468,Chalfont & Latimer,Chorleywood,Metropolitan,Eastbound,3.43,3.68,4.0
469,Chorleywood,Rickmansworth,Metropolitan,Eastbound,3.38,4.07,4.54
470,Rickmansworth,Moor Park,Metropolitan,Eastbound,3.49,3.78,4.5
471,Watford,Croxley,Metropolitan,Eastbound,1.9,3.22,3.0
472,Croxley,Moor Park,Metropolitan,Eastbound,2.94,4.42,4.0
473,Moor Park,Northwood,Metropolitan,Eastbound,2.22,2.87,3.0
474,Northwood,Northwood Hills,Metropolitan,Eastbound,1.61,2.2,2.5
475,Northwood Hills,Pinner,Metropolitan,Eastbound,2.08,2.48,2.5
476,Pinner,North Harrow,Metropolitan,Eastbound,1.48,2.08,2.68
477,North Harrow,Harrow On The Hill,Metropolitan,Eastbound,2.0,3.08,4.53
478,Moor Park,Harrow On The Hill,Metropolitan,Eastbound,9.39,9.62,10.0
479,Uxbridge,Hillingdon,Metropolitan,Eastbound,2.03,3.0,3.0
480,Hillingdon,Ickenham,Metropolitan,Eastbound,1.08,1.73,2.0
481,Ickenham,Ruislip,Metropolitan,Eastbound,1.85,2.45,2.5
482,Ruislip,Ruislip Manor,Metropolitan,Eastbound,0.72,1.45,1.5
483,Ruislip Manor,Eastcote,Metropolitan,Eastbound,1.14,1.82,2.0
484,Eastcote,Rayners Lane,Metropolitan,Eastbound,1.72,2.33,3.0
485,Rayners Lane,West Harrow,Metropolitan,Eastbound,1.38,2.08,2.0
486,West Harrow,Harrow On The Hill,Metropolitan,Eastbound,1.26,2.15,3.92
487,Harrow On The Hill,Finchley Road,Metropolitan,Eastbound,11.63,10.15,11.5
488,Harrow On The Hill,Northwick Park,Metropolitan,Eastbound,1.29,1.9,2.0
489,Northwick Park,Preston Road,Metropolitan,Eastbound,1.64,2.05,2.17
490,Preston Road,Wembley Park,Metropolitan,Eastbound,1.46,1.98,2.54
491,Wembley Park,Finchley Road,Metropolitan,Eastbound,7.24,7.0,7.42
492,Finchley Road,Baker Street,Metropolitan,Eastbound,3.38,6.13,6.76
493,Baker Street,Great Portland Street,Metropolitan,Eastbound,0.92,1.98,2.0
494,Great Portland Street,Euston Square,Metropolitan,Eastbound,0.61,1.25,1.5
495,Euston Square,Kings Cross St Pancras,Metropolitan,Eastbound,0.85,1.75,2.0
496,Kings Cross St Pancras,Farringdon,Metropolitan,Eastbound,1.85,2.98,3.5
497,Farringdon,Barbican,Metropolitan,Eastbound,0.51,1.22,1.5
498,Barbican,Moorgate,Metropolitan,Eastbound,0.63,1.32,1.5
499,Moorgate,Liverpool Street,Metropolitan,Eastbound,0.51,1.18,1.76
500,Liverpool Street,Aldgate,Metropolitan,Eastbound,0.61,2.18,2.1
501,Hammersmith,Goldhawk Road,Hammersmith & City,Eastbound,0.82,2.05,2.0
502,Goldhawk Road,Shepherds Bush,Hammersmith & City,Eastbound,0.51,1.15,1.5
503,Shepherds Bush,Latimer Road,Hammersmith & City,Eastbound,1.01,1.63,2.0
504,Latimer Road,Ladbroke Grove,Hammersmith & City,Eastbound,0.66,1.37,1.5
505,Ladbroke Grove,Westbourne Park,Hammersmith & City,Eastbound,0.79,1.48,1.5
506,Westbourne Park,Royal Oak,Hammersmith & City,Eastbound,0.98,1.78,2.0
507,Royal Oak,Paddington,Hammersmith & City,Eastbound,0.64,1.52,2.0
508,Paddington,Edgware Road,Hammersmith & City,Eastbound,0.93,2.33,3.72
509,Edgware Road,Baker Street,Hammersmith & City,Eastbound,0.72,1.47,2.67
510,Baker Street,Great Portland Street,Hammersmith & City,Eastbound,0.92,1.9,2.0
511,Great Portland Street,Euston Square,Hammersmith & City,Eastbound,0.61,1.25,1.5
512,Euston Square,Kings Cross St Pancras,Hammersmith & City,Eastbound,0.85,1.75,2.0
513,Kings Cross St Pancras,Farringdon,Hammersmith & City,Eastbound,1.85,2.98,3.5
514,Farringdon,Barbican,Hammersmith & City,Eastbound,0.51,1.22,1.5
515,Barbican,Moorgate,Hammersmith & City,Eastbound,0.64,1.32,1.52
516,Moorgate,Liverpool Street,Hammersmith & City,Eastbound,0.51,1.18,1.73
517,Liverpool Street,Aldgate East,Hammersmith & City,Eastbound,0.92,1.93,2.96
518,Aldgate East,Whitechapel,Hammersmith & City,Eastbound,0.82,2.17,2.26
519,Whitechapel,Stepney Green,Hammersmith & City,Eastbound,1.0,2.05,2.0
520,Stepney Green,Mile End,Hammersmith & City,Eastbound,1.05,1.73,2.0
521,Mile End,Bow Road,Hammersmith & City,Eastbound,0.55,1.27,1.5
522,Bow Road,Bromley By Bow,Hammersmith & City,Eastbound,1.01,2.12,2.0
523,Bromley By Bow,West Ham,Hammersmith & City,Eastbound,1.37,2.0,2.0
524,West Ham,Plaistow,Hammersmith & City,Eastbound,0.76,1.43,2.15
525,Plaistow,Upton Park,Hammersmith & City,Eastbound,1.29,1.97,2.0
526,Upton Park,East Ham,Hammersmith & City,Eastbound,1.4,2.02,2.0
527,East Ham,Barking,Hammersmith & City,Eastbound,2.29,3.78,3.54
528,Barking,East Ham,Hammersmith & City,Westbound,2.29,2.87,3.0
529,East Ham,Upton Park,Hammersmith & City,Westbound,1.4,2.0,2.5
530,Upton Park,Plaistow,Hammersmith & City,Westbound,1.29,1.93,2.0
531,Plaistow,West Ham,Hammersmith & City,Westbound,0.76,1.5,1.5
532,West Ham,Bromley By Bow,Hammersmith & City,Westbound,1.37,2.12,2.0
533,Bromley By Bow,Bow Road,Hammersmith & City,Westbound,1.01,2.23,2.5
534,Bow Road,Mile End,Hammersmith & City,Westbound,0.55,1.27,1.5
535,Mile End,Stepney Green,Hammersmith & City,Westbound,1.05,1.72,2.0
536,Stepney Green,Whitechapel,Hammersmith & City,Westbound,1.0,2.63,3.02
537,Whitechapel,Aldgate East,Hammersmith & City,Westbound,0.82,2.18,2.26
538,Aldgate East,Liverpool Street,Hammersmith & City,Westbound,0.92,2.12,3.45
539,Liverpool Street,Moorgate,Hammersmith & City,Westbound,0.51,1.32,1.5
540,Moorgate,Barbican,Hammersmith & City,Westbound,0.64,1.38,1.5
541,Barbican,Farringdon,Hammersmith & City,Westbound,0.51,1.2,1.72
542,Farringdon,Kings Cross St Pancras,Hammersmith & City,Westbound,1.85,3.12,3.5
543,Kings Cross St Pancras,Euston Square,Hammersmith & City,Westbound,0.85,1.65,2.0
544,Euston Square,Great Portland Street,Hammersmith & City,Westbound,0.61,1.3,1.5
545,Great Portland Street,Baker Street,Hammersmith & City,Westbound,0.92,1.57,2.48
546,Baker Street,Edgware Road,Hammersmith & City,Westbound,0.72,1.88,3.34
547,Edgware Road,Paddington,Hammersmith & City,Westbound,0.93,2.08,2.0
548,Paddington,Royal Oak,Hammersmith & City,Westbound,0.64,1.33,1.5
549,Royal Oak,Westbourne Park,Hammersmith & City,Westbound,0.98,1.72,2.0
550,Westbourne Park,Ladbroke Grove,Hammersmith & City,Westbound,0.79,1.48,1.5
551,Ladbroke Grove,Latimer Road,Hammersmith & City,Westbound,0.66,1.28,1.5
552,Latimer Road,Shepherds Bush,Hammersmith & City,Westbound,1.01,1.7,2.0
553,Shepherds Bush,Goldhawk Road,Hammersmith & City,Westbound,0.51,1.15,1.0
554,Goldhawk Road,Hammersmith,Hammersmith & City,Westbound,0.82,2.43,3.05
555,Edgware Road,Paddington,Circle,Inner,0.82,1.85,2.0
556,Paddington,Bayswater,Circle,Inner,0.98,1.65,2.0
557,Bayswater,Notting Hill Gate,Circle,Inner,0.79,1.47,2.0
558,Notting Hill Gate,High Street Kensington,Circle,Inner,0.93,1.58,3.46
559,High Street Kensington,Gloucester Road,Circle,Inner,0.93,1.8,2.78
560,Gloucester Road,South Kensington,Circle,Inner,0.74,1.43,1.5
561,South Kensington,Sloane Square,Circle,Inner,1.22,1.98,2.0
562,Sloane Square,Victoria,Circle,Inner,1.05,1.8,2.0
563,Victoria,St James Park,Circle,Inner,0.72,1.42,1.5
564,St James Park,Westminster,Circle,Inner,0.76,1.5,2.0
565,Westminster,Embankment,Circle,Inner,0.69,1.37,2.0
566,Embankment,Temple,Circle,Inner,0.71,1.37,2.0
567,Temple,Blackfriars,Circle,Inner,0.76,1.4,2.0
568,Blackfriars,Mansion House,Circle,Inner,0.61,1.52,1.74
569,Mansion House,Cannon Street,Circle,Inner,0.31,0.98,1.0
570,Cannon Street,Monument,Circle,Inner,0.34,0.97,1.5
571,Monument,Tower Hill,Circle,Inner,0.68,1.8,2.04
572,Tower Hill,Aldgate,Circle,Inner,0.5,1.3,3.62
573,Aldgate,Liverpool Street,Circle,Inner,0.61,1.75,2.21
574,Liverpool Street,Moorgate,Circle,Inner,0.51,1.32,1.5
575,Moorgate,Barbican,Circle,Inner,0.64,1.38,1.5
576,Barbican,Farringdon,Circle,Inner,0.51,1.2,1.72
577,Farringdon,Kings Cross St Pancras,Circle,Inner,1.85,3.12,3.5
578,Kings Cross St Pancras,Euston Square,Circle,Inner,0.85,1.65,2.0
579,Euston Square,Great Portland Street,Circle,Inner,0.61,1.3,1.5
580,Great Portland Street,Baker Street,Circle,Inner,0.92,1.57,2.48
581,Baker Street,Edgware Road,Circle,Inner,0.72,1.88,3.34
582,Edgware Road,Baker Street,Circle,Outer,0.72,1.47,2.67
583,Baker Street,Great Portland Street,Circle,Outer,0.92,1.9,2.0
584,Great Portland Street,Euston Square,Circle,Outer,0.61,1.25,1.5
585,Euston Square,Kings Cross St Pancras,Circle,Outer,0.85,1.75,2.0
586,Kings Cross St Pancras,Farringdon,Circle,Outer,1.85,2.98,3.5
587,Farringdon,Barbican,Circle,Outer,0.51,1.22,1.5
588,Barbican,Moorgate,Circle,Outer,0.64,1.32,1.52
589,Moorgate,Liverpool Street,Circle,Outer,0.51,1.18,1.73
590,Liverpool Street,Aldgate,Circle,Outer,0.61,2.18,2.53
591,Aldgate,Tower Hill,Circle,Outer,0.5,1.37,2.06
592,Tower Hill,Monument,Circle,Outer,0.68,1.48,1.5
593,Monument,Cannon Street,Circle,Outer,0.34,0.88,1.0
594,Cannon Street,Mansion House,Circle,Outer,0.31,0.93,1.5
595,Mansion House,Blackfriars,Circle,Outer,0.61,1.22,1.51
596,Blackfriars,Temple,Circle,Outer,0.76,1.37,1.5
597,Temple,Embankment,Circle,Outer,0.71,1.43,2.0
598,Embankment,Westminster,Circle,Outer,0.69,1.4,1.5
599,Westminster,St James Park,Circle,Outer,0.76,1.52,1.5
600,St James Park,Victoria,Circle,Outer,0.72,1.33,2.0
601,Victoria,Sloane Square,Circle,Outer,1.05,1.75,2.0
602,Sloane Square,South Kensington,Circle,Outer,1.22,2.0,2.74
603,South Kensington,Gloucester Road,Circle,Outer,0.74,1.48,2.28
604,Gloucester Road,High Street Kensington,Circle,Outer,0.93,2.23,3.45
605,High Street Kensington,Notting Hill Gate,Circle,Outer,0.93,1.68,2.0
606,Notting Hill Gate,Bayswater,Circle,Outer,0.79,1.77,2.0
607,Bayswater,Paddington,Circle,Outer,0.98,1.63,2.23
608,Paddington,Edgware Road,Circle,Outer,0.82,2.15,3.72
609,Upminster,Upminster Bridge,District,Westbound,1.24,2.08,2.01
610,Upminster Bridge,Hornchurch,District,Westbound,1.26,1.78,2.0
611,Hornchurch,Elm Park,District,Westbound,1.5,1.98,2.5
612,Elm Park,Dagenham East,District,Westbound,2.37,2.77,3.12
613,Dagenham East,Dagenham Heathway,District,Westbound,1.35,1.83,2.0
614,Dagenham Heathway,Becontree,District,Westbound,1.37,1.88,2.5
615,Becontree,Upney,District,Westbound,1.87,2.33,2.5
616,Upney,Barking,District,Westbound,1.38,1.92,3.24
617,Barking,East Ham,District,Westbound,2.29,2.87,3.0
618,East Ham,Upton Park,District,Westbound,1.4,2.0,2.5
619,Upton Park,Plaistow,District,Westbound,1.29,1.93,2.0
620,Plaistow,West Ham,District,Westbound,0.76,1.5,1.5
621,West Ham,Bromley By Bow,District,Westbound,1.37,2.12,2.0
622,Bromley By Bow,Bow Road,District,Westbound,1.01,2.23,2.5
623,Bow Road,Mile End,District,Westbound,0.55,1.27,1.5
624,Mile End,Stepney Green,District,Westbound,1.05,1.72,2.0
625,Stepney Green,Whitechapel,District,Westbound,1.0,2.63,3.52
626,Whitechapel,Aldgate East,District,Westbound,0.82,2.18,2.26
627,Aldgate East,Tower Hill,District,Westbound,0.8,1.87,3.34
628,Tower Hill,Monument,District,Westbound,0.68,1.48,1.5
629,Monument,Cannon Street,District,Westbound,0.34,0.88,1.0
630,Cannon Street,Mansion House,District,Westbound,0.31,0.93,1.5
631,Mansion House,Blackfriars,District,Westbound,0.61,1.22,1.5
632,Blackfriars,Temple,District,Westbound,0.76,1.37,1.5
633,Temple,Embankment,District,Westbound,0.71,1.43,2.0
634,Embankment,Westminster,District,Westbound,0.69,1.4,1.5
635,Westminster,St James Park,District,Westbound,0.76,1.52,1.5
636,St James Park,Victoria,District,Westbound,0.72,1.33,2.0
637,Victoria,Sloane Square,District,Westbound,1.05,1.75,2.0
638,Sloane Square,South Kensington,District,Westbound,1.22,2.0,2.75
639,South Kensington,Gloucester Road,District,Westbound,0.74,1.48,2.0
640,Gloucester Road,Earls Court,District,Westbound,0.93,1.82,3.32
641,Edgware Road,Paddington,District,Westbound,0.82,1.85,2.0
642,Paddington,Bayswater,District,Westbound,0.98,1.65,2.0
643,Bayswater,Notting Hill Gate,District,Westbound,0.79,1.47,2.0
644,Notting Hill Gate,High Street Kensington,District,Westbound,0.93,1.58,3.32
645,High Street Kensington,Earls Court,District,Westbound,1.26,2.72,3.96
646,Earls Court,Kensington,District,Westbound,1.54,3.08,3.0
647,Earls Court,West Brompton,District,Westbound,0.6,1.42,1.5
648,West Brompton,Fulham Broadway,District,Westbound,0.84,1.55,1.5
649,Fulham Broadway,Parsons Green,District,Westbound,0.79,1.5,2.0
650,Parsons Green,Putney Bridge,District,Westbound,0.95,2.32,2.5
651,Putney Bridge,East Putney,District,Westbound,1.11,2.18,2.0
652,East Putney,Southfields,District,Westbound,1.53,2.35,2.5
653,Southfields,Wimbledon Park,District,Westbound,1.45,2.05,2.5
654,Wimbledon Park,Wimbledon,District,Westbound,1.5,3.5,3.05
655,Earls Court,West Kensington,District,Westbound,0.9,1.62,2.0
656,West Kensington,Barons Court,District,Westbound,0.64,1.32,1.5
657,Barons Court,Hammersmith,District,Westbound,0.68,1.33,1.5
658,Hammersmith,Ravenscourt Park,District,Westbound,0.93,1.63,2.0
659,Ravenscourt Park,Stamford Brook,District,Westbound,0.77,1.37,1.5
660,Stamford Brook,Turnham Green,District,Westbound,0.55,1.17,1.78
661,Turnham Green,Chiswick Park,District,Westbound,0.95,1.58,2.0
662,Chiswick Park,Acton Town,District,Westbound,1.22,1.83,2.34
663,Acton Town,Ealing Common,District,Westbound,1.03,1.5,2.0
664,Ealing Common,Ealing Broadway,District,Westbound,1.5,3.5,3.52
665,Turnham Green,Gunnersbury,District,Westbound,1.59,2.28,3.08
666,Gunnersbury,Kew Gardens,District,Westbound,1.71,2.43,2.5
667,Kew Gardens,Richmond,District,Westbound,2.14,4.1,3.54
668,Ealing Broadway,Ealing Common,District,Eastbound,1.5,2.67,3.0
669,Ealing Common,Acton Town,District,Eastbound,1.03,1.9,3.11
670,Acton Town,Chiswick Park,District,Eastbound,1.22,1.8,2.0
671,Chiswick Park,Turnham Green,District,Eastbound,0.95,1.48,2.08
672,Turnham Green,Stamford Brook,District,Eastbound,0.55,1.15,1.5
673,Stamford Brook,Ravenscourt Park,District,Eastbound,0.77,1.4,1.5
674,Ravenscourt Park,Hammersmith,District,Eastbound,0.93,1.85,2.0
675,Hammersmith,Barons Court,District,Eastbound,0.68,1.43,2.0
676,Barons Court,West Kensington,District,Eastbound,0.64,1.28,1.5
677,West Kensington,Earls Court,District,Eastbound,0.9,2.17,2.96
678,Richmond,Kew Gardens,District,Eastbound,2.14,3.1,3.01
679,Kew Gardens,Gunnersbury,District,Eastbound,1.71,2.42,3.0
680,Gunnersbury,Turnham Green,District,Eastbound,1.59,2.6,3.84
681,Wimbledon,Wimbledon Park,District,Eastbound,1.5,2.82,3.0
682,Wimbledon Park,Southfields,District,Eastbound,1.45,2.18,2.0
683,Southfields,East Putney,District,Eastbound,1.53,2.37,2.5
684,East Putney,Putney Bridge,District,Eastbound,1.11,1.85,2.0
685,Putney Bridge,Parsons Green,District,Eastbound,0.95,1.92,2.0
686,Parsons Green,Fulham Broadway,District,Eastbound,0.79,1.48,2.0
687,Fulham Broadway,West Brompton,District,Eastbound,0.84,1.57,1.5
688,West Brompton,Earls Court,District,Eastbound,0.6,1.42,3.34
689,Kensington,Earls Court,District,Eastbound,1.54,2.73,3.8
690,Earls Court,High Street Kensington,District,Eastbound,1.26,3.05,3.35
691,High Street Kensington,Notting Hill Gate,District,Eastbound,0.93,1.68,2.0
692,Notting Hill Gate,Bayswater,District,Eastbound,0.79,1.77,2.0
693,Bayswater,Paddington,District,Eastbound,0.98,1.63,2.23
694,Paddington,Edgware Road,District,Eastbound,0.82,2.15,2.5
695,Earls Court,Gloucester Road,District,Eastbound,0.93,1.92,2.59
696,Gloucester Road,South Kensington,District,Eastbound,0.74,1.43,1.5
697,South Kensington,Sloane Square,District,Eastbound,1.22,1.98,2.0
698,Sloane Square,Victoria,District,Eastbound,1.05,1.8,2.0
699,Victoria,St James Park,District,Eastbound,0.72,1.42,1.5
700,St James Park,Westminster,District,Eastbound,0.76,1.5,2.0
701,Westminster,Embankment,District,Eastbound,0.69,1.37,2.0
702,Embankment,Temple,District,Eastbound,0.71,1.37,2.0
703,Temple,Blackfriars,District,Eastbound,0.76,1.4,2.0
704,Blackfriars,Mansion House,District,Eastbound,0.61,1.52,1.75
705,Mansion House,Cannon Street,District,Eastbound,0.31,0.98,1.0
706,Cannon Street,Monument,District,Eastbound,0.34,0.97,1.5
707,Monument,Tower Hill,District,Eastbound,0.68,1.8,2.26
708,Tower Hill,Aldgate East,District,Eastbound,0.8,1.88,2.56
709,Aldgate East,Whitechapel,District,Eastbound,0.82,2.17,2.74
710,Whitechapel,Stepney Green,District,Eastbound,1.0,2.05,2.0
711,Stepney Green,Mile End,District,Eastbound,1.05,1.73,2.0
712,Mile End,Bow Road,District,Eastbound,0.55,1.27,1.5
713,Bow Road,Bromley By Bow,District,Eastbound,1.01,2.12,2.0
714,Bromley By Bow,West Ham,District,Eastbound,1.37,2.0,2.0
715,West Ham,Plaistow,District,Eastbound,0.76,1.43,2.02
716,Plaistow,Upton Park,District,Eastbound,1.29,1.97,2.0
717,Upton Park,East Ham,District,Eastbound,1.4,2.02,2.0
718,East Ham,Barking,District,Eastbound,2.29,3.78,3.98
719,Barking,Upney,District,Eastbound,1.38,1.97,2.03
720,Upney,Becontree,District,Eastbound,1.87,2.33,2.5
721,Becontree,Dagenham Heathway,District,Eastbound,1.37,1.88,2.5
722,Dagenham Heathway,Dagenham East,District,Eastbound,1.35,1.85,2.26
723,Dagenham East,Elm Park,District,Eastbound,2.37,2.85,3.0
724,Elm Park,Hornchurch,District,Eastbound,1.5,2.05,2.5
725,Hornchurch,Upminster Bridge,District,Eastbound,1.26,1.77,2.0
726,Upminster Bridge,Upminster,District,Eastbound,1.24,2.32,2.02
