,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
74,Euston,529587,182735,51.528664114832,-0.1332964708191512,1,NW1 2DU
75,Euston Square,529454,182376,51.525468382999584,-0.1353444884426915,1,NW1 2BN
76,Fairlop,544902,190655,51.59610969417489,0.0905932799159299,4,IG6 3HD
77,Farringdon,531585,181844,51.52019551919777,-0.1048430613167642,1,EC1M 6BY
78,Finchley Central,525232,190664,51.60090293685636,-0.1932206347116579,4,N3 2RY
79,Finchley Road,526293,184703,51.54709590643439,-0.1800505586324935,2,NW6 3BS
80,Finsbury Park,531385,186784,51.564635274841386,-0.1058814855289023,2,N4 3JU
81,Fulham Broadway,525402,177244,51.480260585746336,-0.1955441615278966,2,SW6 1BY
82,Gants Hill,543266,188432,51.57655306294169,0.0660840980631794,4,IG2 6UD
83,Gloucester Road,526196,178848,51.4944992596252,-0.183543557571591,1,SW7 4SF
84,Golders Green,525199,187471,51.57221521685042,-0.1948345569382634,3,NW11 7RN
85,Goldhawk Road,523131,179616,51.50207659663676,-0.2274040032488232,2,W12 8EG
86,Goodge Street,529505,181837,51.52061289126984,-0.1348076891147268,1,W1T 2HF
87,Grange Hill,544963,192590,51.61348057933538,0.092272530168692,4,IG7 5QB
88,Great Portland Street,528861,182174,51.52378856271794,-0.1439614240810903,1,W1W 5PP
89,Green Park,529012,180283,51.50676025371464,-0.1424775744225331,1,W1J 7BX
90,Greenford,514808,183861,51.54197950701463,-0.3458787331310219,4,UB6 8PR
91,Gunnersbury,519843,178401,51.49186296322991,-0.2751641314162503,3,W4 5RP
92,Hainault,545124,191411,51.602845483752255,0.0941085508301524,4,IG6 3BD
93,Hammersmith,523474,178483,51.49181941355715,-0.2228609258853042,2,W6 9YA
94,Hampstead,526408,185757,51.55654230644866,-0.1780145581084496,2,NW3 1QG
95,Hanger Lane,518506,182621,51.5300715563412,-0.2929961405571649,3,W5 1DL
96,Harlesden,520952,183367,51.53625790862039,-0.2574956703770174,3,NW10 8UT
97,Harrow & Wealdstone,515486,189508,51.59259408808769,-0.3342526785741267,5,HA3 7RF
98,Harrow On The Hill,515329,188035,51.5793875695421,-0.3370015107060956,5,HA1 1BB
99,Hatton Cross,509614,175369,51.466684612990974,-0.4233805529699787,"5,6",TW6 3PF
100,Heathrow Terminal 4,507939,174565,51.4597796985324,-0.4477295782660727,6,TW6 3AA
101,Heathrow Terminals 1 2 3,507587,175838,51.47128866191333,-0.4524072136493198,6,TW6 1EB
102,Hendon Central,522959,188631,51.583132678162094,-0.226734137100088,"3,4",NW4 3AS
103,High Barnet,525027,196310,51.65168793826675,-0.1941653779796151,5,EN5 5RP
104,High Street Kensington,525622,179527,51.50072913416872,-0.1915660554964191,1,W8 5SA
105,Highbury & Islington,531562,184770,51.54649533884997,-0.1040821392393529,2,N1 1SE
106,Highgate,528503,188158,51.57764637933854,-0.1469348609337413,3,N6 5BH
