,station_from,station_to,duration
111,Monument (Northern),Monument (Waterloo & City),7.0
112,Moorgate (Circle),Moorgate (Hammersmith & City),4.0
113,Moorgate (Circle),Moorgate (Metropolitan),4.0
114,Moorgate (Circle),Moorgate (Northern),7.0
115,Moorgate (Hammersmith & City),Moorgate (Metropolitan),4.0
116,Moorgate (Hammersmith & City),Moorgate (Northern),7.0
117,Moorgate (Metropolitan),Moorgate (Northern),7.0
118,Moor Park (nan),Moor Park (nan),
119,Notting Hill Gate (Central),Notting Hill Gate (Circle),4.0
120,Notting Hill Gate (Central),Notting Hill Gate (District),4.0
121,Notting Hill Gate (Circle),Notting Hill Gate (District),4.0
122,Oxford Circus (Bakerloo),Oxford Circus (Central),4.0
123,Oxford Circus (Bakerloo),Oxford Circus (Victoria),4.0
124,Oxford Circus (Central),Oxford Circus (Victoria),4.0
125,Paddington (Bakerloo),Paddington (Circle),7.0
126,Paddington (Bakerloo),Paddington (District),7.0
127,Paddington (Bakerloo),Paddington (Hammersmith & City),15.0
128,Paddington (Circle),Paddington (District),4.0
129,Paddington (Circle),Paddington (Hammersmith & City),13.0
130,Paddington (District),Paddington (Hammersmith & City),13.0
131,Piccadilly Circus (Bakerloo),Piccadilly Circus (Piccadilly),3.0
132,Plaistow (District),Plaistow (Hammersmith & City),4.0
133,Rayners Lane (Metropolitan),Rayners Lane (Piccadilly),4.0
134,Royal Oak (Circle),Royal Oak (Hammersmith & City),2.0
135,Ruislip (Metropolitan),Ruislip (Piccadilly),3.0
136,Ruislip Manor (Metropolitan),Ruislip Manor (Piccadilly),4.0
137,St James Park (Circle),St James Park (District),4.0
138,Shepherds Bush (Circle),Shepherds Bush (Hammersmith & City),4.0
139,Sloane Square (Circle),Sloane Square (District),5.0
140,South Kensington (Circle),South Kensington (District),2.0
141,South Kensington (Circle),South Kensington (Piccadilly),
142,South Kensington (District),South Kensington (Piccadilly),4.0
143,Stepney Green (District),Stepney Green (Hammersmith & City),4.0
144,Stockwell (Northern),Stockwell (Victoria),3.0
145,Stratford (nan),Stratford (nan),4.5
146,Stratford (nan),Stratford (nan),6.0
147,Stratford (nan),Stratford (nan),6.0
148,Stratford (nan),Stratford (nan),6.0
149,Stratford (nan),Stratford (nan),6.0
150,Stratford (nan),Stratford (nan),7.0
151,Temple (Circle),Temple (District),4.0
152,Tottenham Court Road (Central),Tottenham Court Road (Northern),4.0
153,Tower Hill (Circle),Tower Hill (District),2.0
154,Turnham Green (District),Turnham Green (Piccadilly),4.0
155,Upminster (nan),Upminster (nan),5.0
156,Upton Park (District),Upton Park (Hammersmith & City),4.0
157,Uxbridge (Metropolitan),Uxbridge (Piccadilly),
158,Victoria (Circle),Victoria (District),2.0
159,Victoria (Circle),Victoria (Victoria),4.0
160,Victoria (District),Victoria (Victoria),4.0
161,Victoria (nan),Victoria (nan),10.0
162,Warren Street (Northern),Warren Street (Victoria),6.0
163,Waterloo (Bakerloo),Waterloo (Jubilee),6.0
164,Waterloo (Bakerloo),Waterloo (Northern),4.0
165,Waterloo (Jubilee),Waterloo (Northern),6.0
166,Wembley Central (nan),Wembley Central (nan),5.0
167,Wembley Park (Jubilee),Wembley Park (Metropolitan),4.0
168,Westbourne Park (Circle),Westbourne Park (Hammersmith & City),4.0
169,West Brompton (nan),West Brompton (nan),5.0
170,West Ham (nan),West Ham (nan),5.5
171,West Ham (District),West Ham (Hammersmith & City),5.0
172,West Ham (District),West Ham (Jubilee),5.0
173,West Ham (Hammersmith & City),West Ham (Jubilee),
174,Westminster (Circle),Westminster (District),4.0
175,Westminster (Circle),Westminster (Jubilee),6.0
176,Westminster (District),Westminster (Jubilee),6.0
177,Whitechapel (Hammersmith & City),Whitechapel (District),2.0
178,Willesden Green (nan),Willesden Green (nan),
179,Willesden Junction (nan),Willesden Junction (nan),5.0
180,Willesden Junction (nan),Willesden Junction (nan),3.0
181,Wimbledon (nan),Wimbledon (nan),5.0
182,Woodford (nan),Woodford (nan),3.0
